31,CT Cha,b,Imaging,1,nul,nul,nul,nul,440,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,17,6,-6,0,nul,nul,nul,nul,2.2,0.81,-0.6,0,nul,nul,nul,nul,0,0,11h04m09.09s,166.037872,-76d27m19.4s,-76.455383,165,30,-30,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
32,DH Tau,b,Imaging,1,nul,nul,nul,nul,330,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,11,10,-3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,04h29m41.56s,67.423157,+26d32m58.3s,26.54952,140,15,-15,0,nul,nul,nul,nul,nul,nul,nul,nul,0.33,nul,0,0,0.27,0.07,0,0,nul,nul,6.05,M0.5,nul,0,0
33,DP Leo,b,Eclipse Timing Variations,1,10220,730,-730,0,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,nul,nul,nul,nul,nul,nul,nul,nul,6.05,0.47,-0.58,0,nul,nul,nul,nul,nul,nul,nul,nul,0,0,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.69,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
34,FU Tau,b,Imaging,1,nul,nul,nul,nul,800,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,15.711,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,04h23m35.74s,65.898911,+25d02m59.6s,25.049898,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
35,FW Tau,b,Imaging,1,nul,nul,nul,nul,330,30,-30,0,nul,nul,nul,nul,nul,nul,nul,nul,10,4,-4,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,04h29m29.71s,67.373795,+26d16m53.2s,26.281448,145,15,-15,0,nul,nul,nul,nul,3270,70,0,0,0.28,0.05,0,0,nul,nul,nul,nul,nul,nul,6.4,M4,nul,0,0
36,GQ Lup,b,Imaging,1,nul,nul,nul,nul,100,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,20,nul,nul,0,nul,nul,nul,nul,3,0.5,-0.5,0,nul,nul,nul,nul,0,0,15h49m12.10s,237.30043,-35d39m05.1s,-35.651421,139,45,-45,0,12.43,nul,0,0,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,nul,nul,5.7,K7e V,nul,0,0
37,HN Peg,b,Imaging,1,nul,nul,nul,nul,773,13,-13,0,nul,nul,nul,nul,nul,nul,nul,nul,21.9987,9.42803,-9.42803,0,nul,nul,nul,nul,1.051,0.136,-0.058,0,nul,nul,nul,nul,0,0,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.39,0.28,-0.29,0,5.95,0.01,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,HD 206860,HIP 107350,4,G0 IV-V,nul,0,0
38,HW Vir,b,Eclipse Timing Variations,2,5767,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,19.2,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,12h44m20.24s,191.08432,-08d40m16.8s,-8.671344,130.72,nul,nul,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,HIP 62157,nul,nul,nul,nul,nul
39,HW Vir,c,Eclipse Timing Variations,2,3321,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,8.5,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,12h44m20.24s,191.08432,-08d40m16.8s,-8.671344,130.72,nul,nul,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,HIP 62157,nul,nul,nul,nul,nul
40,NN Ser,c,Eclipse Timing Variations,2,5573.55,102.2,-102.2,0,5.35,0.06,-0.06,0,0.08,0.05,-0.05,0,nul,nul,nul,nul,7.33,0.31,-0.31,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0,0,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500,nul,nul,0,nul,nul,nul,nul,57000,nul,0,0,0.54,nul,0,0,nul,nul,nul,nul,nul,nul,nul,WD,nul,0,0
