# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,
# Mon Mar 24 20:16:32 2014,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [jup] (val),,,,,,,,,,,,,
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc),,,,,,,,,,,,,
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc),,,,,,,,,,,,,
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag),,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius (val),,,,,,,,,,,,,
# COLUMN pl_radjerr1:    Planet Radius (upper unc),,,,,,,,,,,,,
# COLUMN pl_radjerr2:    Planet Radius (lower unc),,,,,,,,,,,,,
# COLUMN pl_radjlim:     Planet Radius (limit flag),,,,,,,,,,,,,
# COLUMN st_dist:        Distance (val),,,,,,,,,,,,,
# COLUMN st_disterr1:    Distance (upper unc),,,,,,,,,,,,,
# COLUMN st_disterr2:    Distance (lower unc),,,,,,,,,,,,,
# COLUMN st_distlim:     Distance (limit flag),,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,
#,,,,,,,,,,,,,
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
141,0.02,0.003,-0.003,0,0.203,0.007,-0.007,0,,,,,2009
142,,,,,,,,,17.62,0.16,-0.17,0,2000
143,0.044,0.005,-0.005,0,0.37,0.05,-0.05,0,25.2,2.9,-2.9,0,2012
144,8.4,4,-1.5,0,,,,,19.8,0.6,-0.6,0,2010
145,13.5,1.5,-1.5,0,,,,,145,14,-14,0,2010
146,0.524,0.031,-0.031,0,1.225,0.059,-0.059,0,139,22,-19,0,2006
147,9.09,0.24,-0.24,0,1.157,0.073,-0.062,0,135.32,14.4,-18.29,0,2007
148,0.591,0.018,-0.018,0,0.827,0.055,-0.055,0,138,10,-10,0,2007
149,0.671,0.033,-0.044,0,1.274,0.049,-0.06,0,314,24,-24,0,2007
150,1.06,0.11,-0.11,0,1.26,0.05,-0.05,0,342,30,-30,0,2007
151,1.057,0.119,-0.119,0,1.33,0.061,-0.061,0,261,20,-20,0,2007
152,1.52,0.18,-0.16,0,1.5,0.08,-0.06,0,230,15,-15,0,2008
153,0.78,0.09,-0.09,0,1.4,0.06,-0.06,0,480,60,-60,0,2008
154,0.211,0.012,-0.012,0,0.959,0.029,-0.021,0,142.5,4.2,-3.3,0,2009
155,0.853,0.029,-0.046,0,1.271,0.079,-0.079,0,214,12,-12,0,2009
156,,,,,,,,,214,12,-12,0,2009
157,2.232,0.059,-0.059,0,1.15,0.052,-0.052,0,205,11,-11,0,2010
158,1.946,0.066,-0.066,0,1.072,0.043,-0.043,0,190,8,-8,0,2010
159,4.193,0.094,-0.094,0,1.289,0.066,-0.066,0,235,10,-10,0,2010
160,0.534,0.018,-0.018,0,1.01,0.029,-0.029,0,90,3,-3,0,2010
161,,,,,,,,,90,3,-3,0,2010
162,0.197,0.013,-0.013,0,0.995,0.052,-0.052,0,166,9,-9,0,2010
163,0.292,0.018,-0.018,0,1.132,0.072,-0.072,0,215,15,-15,0,2010
164,7.246,0.187,-0.187,0,0.867,0.033,-0.033,0,70,3,-3,0,2010
165,4.063,0.161,-0.161,0,1.024,0.092,-0.092,0,254,19,-19,0,2010
166,2.147,0.061,-0.061,0,1.08,0.058,-0.058,0,82,3,-3,0,2010
167,2.09,0.111,-0.111,0,1.368,0.09,-0.09,0,393,25,-25,0,2010
168,0.685,0.033,-0.033,0,1.242,0.067,-0.067,0,396,20,-20,0,2010
169,0.567,0.022,-0.022,0,1.19,0.081,-0.056,0,297,17,-13,0,2010
170,0.059,0.007,-0.007,0,0.565,0.072,-0.032,0,134,18,-8,0,2010
171,0.62,0.03,-0.03,0,1.02,0.07,-0.06,0,204,14,-14,0,2011
172,0.626,0.037,-0.037,0,1.212,0.113,-0.082,0,395,34,-26,0,2011
173,0.778,0.076,-0.04,0,1.107,0.136,-0.082,0,322,35,-21,0,2011
174,0.711,0.028,-0.028,0,1.34,0.065,-0.065,0,193,8,-8,0,2011
