pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2,st_dist,st_disterr1,st_disterr2,pl_disc
NaN,NaN,NaN,NaN,NaN,NaN,56.5,2.99,-3.35,2012
NaN,NaN,NaN,NaN,NaN,NaN,100,9.17,-11.23,2007
NaN,NaN,NaN,NaN,NaN,NaN,53.28,2.59,-2.87,2009
1.4,NaN,NaN,NaN,NaN,NaN,58.17,2.68,-2.95,2012
NaN,NaN,NaN,NaN,NaN,NaN,150.6,23.21,-33.56,2011
NaN,NaN,NaN,NaN,NaN,NaN,40.32,1.4,-1.5,2003
NaN,NaN,NaN,NaN,NaN,NaN,55.01,2.76,-3.07,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.88,0.87,-0.91,2011
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.11,-1.18,2011
NaN,NaN,NaN,NaN,NaN,NaN,38.52,1.11,-1.18,2011
NaN,NaN,NaN,NaN,NaN,NaN,16.82,0.17,-0.17,2008
NaN,NaN,NaN,NaN,NaN,NaN,56.34,2.55,-2.8,2010
NaN,NaN,NaN,NaN,NaN,NaN,44.15,1.54,-1.66,2002
NaN,NaN,NaN,NaN,NaN,NaN,38.26,1.12,-1.19,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.85,2.8,-3.14,2009
NaN,NaN,NaN,NaN,NaN,NaN,52.85,2.8,-3.14,2009
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,39.39,0.94,-0.99,2010
NaN,NaN,NaN,NaN,NaN,NaN,17.35,0.19,-0.19,2006
NaN,NaN,NaN,NaN,NaN,NaN,32.56,0.84,-0.88,1999
NaN,NaN,NaN,NaN,NaN,NaN,53.82,2.67,-2.96,2007
NaN,NaN,NaN,NaN,NaN,NaN,53.82,2.67,-2.96,2008
NaN,NaN,NaN,NaN,NaN,NaN,66.49,2.02,-2.14,2005
NaN,NaN,NaN,NaN,NaN,NaN,33.98,1.02,-1.08,2005
NaN,NaN,NaN,NaN,NaN,NaN,33.98,1.02,-1.08,2008
NaN,NaN,NaN,NaN,NaN,NaN,37.16,1.11,-1.18,2000
NaN,NaN,NaN,NaN,NaN,NaN,37.16,1.11,-1.18,2002
NaN,NaN,NaN,NaN,NaN,NaN,300.3,NaN,NaN,2005
NaN,NaN,NaN,NaN,NaN,NaN,66.89,3.6,-4.03,2013
NaN,NaN,NaN,NaN,NaN,NaN,66.89,3.6,-4.03,2013
NaN,NaN,NaN,NaN,NaN,NaN,45.52,1.91,-2.08,2009
NaN,NaN,NaN,NaN,NaN,NaN,35.91,1.71,-1.89,2000
NaN,NaN,NaN,NaN,NaN,NaN,25.54,0.41,-0.42,2008
NaN,NaN,NaN,NaN,NaN,NaN,59.84,3.28,-3.69,2009
NaN,NaN,NaN,NaN,NaN,NaN,50.18,6.2,-8.24,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007
3.191,0.033,-0.033,1.087,0.007,-0.007,78.25,5.15,-5.93,2007
NaN,NaN,NaN,NaN,NaN,NaN,127.88,15.27,-20.05,2011
NaN,NaN,NaN,NaN,NaN,NaN,22.38,0.37,-0.38,2003
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,6.06,0.02,-0.02,2011
NaN,NaN,NaN,NaN,NaN,NaN,36.02,1.11,-1.18,2006
NaN,NaN,NaN,NaN,NaN,NaN,44.5,2.68,-3.05,2008
