188,1.413,322,HAT-P-49 b,2014,2
189,1.302,303,HATS-1 b,2012,2
190,1.168,360,HATS-2 b,2013,2
191,1.381,453,HATS-3 b,2013,2
192,,25.64,HD 142 b,2001,2
193,,25.64,HD 142 c,2012,2
194,,23.44,HD 1461 b,2009,2
195,,167.5,HD 1502 b,2011,2
196,,7.01,HD 1690 b,2010,2
197,,89.85,HD 2039 b,2002,2
198,,53.71,HD 2638 b,2005,2
199,,115.21,HD 2952 b,2013,2
200,,11.11,HD 3651 b,2003,2
201,,44.05,HD 4113 b,2007,2
202,,32.7,HD 4208 b,2001,2
203,,21.85,HD 4308 b,2005,2
204,,77.82,HD 4203 b,2001,2
205,,77.82,HD 4203 c,2014,2
206,,131.41,HD 4313 b,2009,2
207,,56.5,HD 4732 b,2012,2
208,,56.5,HD 4732 c,2012,2
209,,100,HD 5319 b,2007,2
210,,53.28,HD 5388 b,2009,2
211,,58.17,HD 5608 b,2012,2
212,,150.6,HD 5891 b,2011,2
213,,40.32,HD 6434 b,2003,2
214,,55.01,HD 6718 b,2009,2
215,,35.88,HD 7199 b,2011,2
216,,38.52,HD 7449 b,2011,2
217,,38.52,HD 7449 c,2011,2
218,,16.82,HD 7924 b,2008,2
219,,56.34,HD 8535 b,2010,2
220,,44.15,HD 8574 b,2002,2
221,,38.26,HD 8673 b,2009,2
222,,52.85,HD 9446 b,2009,2
223,,52.85,HD 9446 c,2009,2
224,,39.39,HD 10180 c,2010,2
225,,39.39,HD 10180 d,2010,2
226,,39.39,HD 10180 e,2010,2
227,,39.39,HD 10180 f,2010,2
228,,39.39,HD 10180 g,2010,2
229,,39.39,HD 10180 h,2010,2
230,,17.35,HD 10647 b,2006,2
231,,32.56,HD 10697 b,1999,2
232,,53.82,HD 11506 b,2007,2
233,,53.82,HD 11506 c,2008,2
234,,66.49,HD 11977 b,2005,2
235,,33.98,HD 11964 b,2005,2
236,,33.98,HD 11964 c,2008,2
237,,37.16,HD 12661 b,2000,2
238,,37.16,HD 12661 c,2002,2
239,,300.3,HD 13189 b,2005,2
240,,66.89,HD 13908 b,2013,2
241,,66.89,HD 13908 c,2013,2
242,,45.52,HD 13931 b,2009,2
243,,35.91,HD 16141 b,2000,2
244,,25.54,HD 16417 b,2008,2
245,,59.84,HD 16175 b,2009,2
246,,50.18,HD 16760 b,2009,2
247,,,HD 17092 b,2007,2
248,1.087,78.25,HD 17156 b,2007,2
249,,127.88,HD 18742 b,2011,2
250,,22.38,HD 19994 b,2003,2
251,,6.06,HD 20794 b,2011,2
252,,6.06,HD 20794 c,2011,2
253,,6.06,HD 20794 d,2011,2
254,,36.02,HD 20782 b,2006,2
255,,44.5,HD 20868 b,2008,2
256,,89.13,HD 23127 b,2006,2
257,,34.6,HD 23079 b,2001,2
258,,31.79,HD 22781 b,2011,2
259,,51.97,HD 23596 b,2003,2
260,,46.51,HD 24040 b,2006,2
261,,56.05,HD 25171 b,2010,2
262,,18.24,HD 27442 b,2000,2
263,,44.54,HD 27631 b,2012,2
264,,42.37,HD 27894 b,2005,2
265,,56.18,HD 28254 b,2010,2
266,,39.56,HD 28185 b,2001,2
267,,168.92,HD 28678 b,2011,2
268,,54.71,HD 30177 b,2002,2
269,,26.5,HD 30562 b,2009,2
270,,121.07,HD 30856 b,2011,2
271,,53.82,HD 31253 b,2010,2
272,,117.37,HD 32518 b,2009,2
273,,136.8,HD 33142 b,2011,2
274,,86.88,HD 33283 b,2006,2
275,,20.98,HD 33564 b,2005,2
276,,45.01,HD 34445 b,2009,2
277,,33.24,HD 37124 b,2002,2
278,,33.24,HD 37124 c,2002,2
279,,33.24,HD 37124 d,2005,2
280,,42.88,HD 37605 b,2004,2
281,,42.88,HD 37605 c,2012,2
282,,37.78,HD 38283 b,2010,2
283,,42.43,HD 38529 b,2000,2
284,,42.43,HD 38529 c,2000,2
285,,99.4,HD 38801 b,2009,2
286,,18.21,HD 39091 b,2001,2
287,,12.83,HD 40307 b,2008,2
288,,12.83,HD 40307 c,2008,2
289,,12.83,HD 40307 d,2008,2
290,,12.83,HD 40307 e,2012,2
291,,12.83,HD 40307 f,2012,2
292,,12.83,HD 40307 g,2012,2
293,,33.33,HD 40979 b,2002,2
294,,43.03,HD 41004 A b,2004,2
295,,43.03,HD 41004 B b,2003,2
296,,52.03,HD 41248 b,2013,2
297,,52.03,HD 41248 c,2013,2
298,,54.94,HD 43197 b,2010,2
299,,37.05,HD 43848 b,2008,2
300,,93.2,HD 43691 b,2007,2
301,,50.43,HD 44219 b,2010,2
302,,32.58,HD 45364 b,2008,2
303,,32.58,HD 45364 c,2008,2
304,,48.95,HD 45350 b,2004,2
305,,36.14,HD 45652 b,2008,2
306,,33.41,HD 46375 b,2000,2
307,,37.84,HD 47186 b,2008,2
308,,37.84,HD 47186 c,2008,2
309,,121.36,HD 47536 b,2002,2
310,,87.41,HD 48265 b,2008,2
311,,40.73,HD 49674 b,2002,2
312,,47.26,HD 50499 b,2005,2
313,,31.03,HD 50554 b,2002,2
314,,28.07,HD 52265 b,2000,2
315,,25.7,HD 60532 b,2008,2
316,,25.7,HD 60532 c,2008,2
317,,35.8,HD 63454 b,2005,2
318,,10.34,HD 62509 b,2006,2
319,,32.62,HD 63765 b,2009,2
320,,35.59,HD 65216 b,2003,2
321,,35.59,HD 65216 c,2011,2
322,,80.06,HD 66141 b,2012,2
323,,55.04,HD 66428 b,2005,2
324,,58.82,HD 68988 b,2001,2
325,,12.58,HD 69830 b,2006,2
326,,12.58,HD 69830 c,2006,2
327,,12.58,HD 69830 d,2006,2
328,,,HD 70573 b,2007,2
329,,28.76,HD 70642 b,2003,2
330,,51.36,HD 72659 b,2002,2
331,,53.05,HD 73267 b,2008,2
332,,36.52,HD 73256 b,2003,2
333,,94.61,HD 73526 b,2002,2
334,,94.61,HD 73526 c,2005,2
335,,96.99,HD 73534 b,2008,2
