rowid,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend
39,3321,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,8.5,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
40,5573.55,102.2,-102.2,0,0.08,0.05,-0.05,0,nul,nul,nul,nul,7.33,0.31,-0.31,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.54,nul,0,0,nul,nul,nul,nul,nul,WD,nul,0,0
41,2883.5,182.5,-182.5,0,0.19,0.05,-0.05,0,nul,nul,nul,nul,2.3,0.5,-0.5,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.54,nul,0,0,nul,nul,nul,nul,nul,WD,nul,0,0
42,2900,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.3,0.3,-0.3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul
43,4343.5,36.5,-36.5,0,0,nul,nul,0,17.6,nul,nul,-1,nul,nul,nul,nul,4.2,0.4,-0.4,0,nul,nul,nul,nul,nul,nul,nul,nul,0.44,nul,0,0,nul,nul,nul,nul,6,M,nul,0,0
44,5840,1095,-1095,0,0.04,0.05,-0.05,0,nul,nul,nul,nul,6.3,1.5,-1.5,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul
45,1916.25,91.25,-91.25,0,0.05,0.05,-0.05,0,nul,nul,nul,nul,7.7,1.2,-1.2,-1,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,0.7,nul,0,0,nul,nul,nul,nul,nul,nul,nul,nul,nul
46,380.8,0.3,-0.3,0,0.25,0.03,-0.03,0,nul,nul,nul,nul,nul,nul,nul,nul,1.8,0.2,-0.2,0,nul,nul,nul,nul,nul,nul,nul,nul,1.5,0.2,0,nul,13.9,0.3,0,nul,5.1,K1 IIIb,nul,0,0
47,3.2357,0.0008,-0.0008,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,0.0036,0.0003,-0.0003,0,nul,nul,nul,nul,nul,nul,nul,nul,0.93,0.01,-1,1,0.86,nul,0,1,5.1,K1 V,nul,0,1
48,6000,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,8,4,-2,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.5,A5 V,nul,0,0
49,2502,10,-10,0,0.702,0.039,-0.039,0,30.1,3.8,-3.8,0,nul,nul,nul,nul,1.55,0.24,-0.24,0,nul,nul,nul,nul,nul,nul,nul,nul,0.83,0.05,0,nul,nul,nul,nul,nul,5.2,K2 V,nul,0,1
50,417.9,0.5,-0.5,0,0.11,0.03,-0.03,0,nul,nul,nul,nul,6.7,0.3,-0.3,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,1.7,0.1,0,0,21,nul,0,0,5.2,K2 III,nul,0,0
51,594.9,5.3,-5.3,0,0.151,0.023,-0.023,0,nul,nul,nul,nul,nul,nul,nul,nul,7.6,0.2,-0.2,0,nul,nul,nul,nul,nul,nul,nul,nul,2.7,0.1,0,nul,13.7,0.6,0,nul,5,K0 III,nul,0,0
52,428.5,1.25,-1.25,0,0.144,0.046,-0.046,0,nul,nul,nul,nul,nul,nul,nul,nul,8.78,1,-1,0,nul,nul,nul,nul,nul,nul,nul,nul,1.23,0.21,0,nul,31.88,1.61,0,nul,5.1,K1 IIIb Fe-0.5,nul,0,0
53,903.3,1.5,-1.5,0,0.049,0.034,-0.034,0,nul,nul,nul,nul,nul,nul,nul,nul,1.85,0.16,-0.16,0,nul,nul,nul,nul,nul,nul,nul,nul,1.4,0.12,0,nul,4.9,nul,0,nul,5.1,K1 III,nul,0,0
54,1251,15,-15,0,0.073,0.049,-0.049,0,nul,nul,nul,nul,1.6,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,1.51,0.19,0,nul,5,0.2,0,nul,5,K0 III-IV,nul,0,0
55,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,13.616,23.042,-1.047,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.6,0.2,0,0,nul,nul,nul,nul,1.9,B9 IV,nul,0,0
56,136.75,0.25,-0.25,0,0,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.8,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,5,K0,nul,0,1
57,530.32,0.35,-0.35,0,0.1256,0.0065,-0.0065,0,nul,nul,nul,nul,24,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,3.04,0.06,0,nul,15.1,1.1,0,nul,5.1,K1 III,nul,0,0
58,3186,14,-14,0,0.165,0.013,-0.013,0,nul,nul,nul,nul,27,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,3.04,0.06,0,nul,15.1,1.1,0,nul,5.1,K1 III,nul,0,0
59,277.02,0.52,-0.51,0,0.106,0.079,-0.069,0,nul,nul,nul,nul,nul,nul,nul,nul,1.7,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.17,0.21,0,0,12.3,0.88,0,0,4.8,G8 III,nul,0,0
60,187.83,0.54,-0.54,0,0.191,0.085,-0.085,0,nul,nul,nul,nul,1.5,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,2.13,0.23,0,nul,10.5,0.7,0,nul,5,K0,nul,0,0
61,1630,35,-35,0,0.13,0.065,-0.065,0,nul,nul,nul,nul,4.1,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,3.09,0.07,0,nul,14.1,1,0,nul,4.5,G5 III,nul,0,0
62,39.845,nul,nul,0,0.04,0.15,-0.15,0,nul,nul,nul,nul,nul,nul,nul,nul,1.04,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0 V,nul,0,0
63,3.3135,0.0014,-0.0014,0,0.018,0.016,-0.016,0,nul,nul,nul,nul,nul,nul,nul,nul,3.9,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,3.5,F5,nul,0,1
64,305.5,0.1,-0.1,0,0.031,0.009,-0.009,0,nul,nul,nul,nul,nul,nul,nul,nul,20.6,nul,nul,0,nul,nul,nul,nul,nul,nul,nul,nul,2.3,0.3,0,0,26.8,0.7,0,0,5.2,K2 III,nul,0,0
65,4.617033,0.000023,-0.000023,0,0.0215,0.0007,-0.0007,0,nul,nul,nul,nul,nul,nul,nul,nul,0.6876,0.0044,-0.0044,0,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,nul,4,G0,nul,0,0
