rowid,kepoi_name,Planet (earth radi)
366,K00782.01,5.466497857
367,K00783.01,4.354964686
368,K00784.01,1.925579964
369,K00784.02,1.985754338
370,K00785.01,2.802968203
371,K04032.02,0.809645654
372,K04033.01,2.935058108
373,K04034.01,2.372393802
374,K04035.01,22.06029677
375,K04036.01,2.269688923
376,K02194.02,1.813445946
377,K04037.01,2.686026788
378,K04038.01,2.136321324
379,K02420.02,0.937540771
380,K04193.01,3.89482621
381,K04194.01,1.446969812
382,K04195.01,0.58912787
383,K04196.01,1.13222835
384,K04197.01,1.134903981
385,K04198.01,0.630902646
386,K04199.01,0.856688691
387,K04200.01,2.186918034
388,K04201.01,2.350732119
389,K00786.01,1.885609327
390,K00787.01,2.787023632
391,K00787.02,3.382870064
392,K00788.01,3.004350318
393,K00116.01,2.478266845
394,K00789.01,2.128272592
395,K00790.01,2.460487556
396,K00790.02,2.394874554
397,K00791.01,7.084806281
398,K00792.01,7.808471383
399,K00793.01,2.757537097
400,K00794.01,2.168352438
401,K00795.01,3.512610819
402,K00796.01,41.33356991
403,K00797.01,9.046905865
404,K04039.01,1.3212152
405,K04040.01,1.289701738
406,K04041.01,1.247433336
407,K04042.01,6.042651651
408,K04043.01,2.399922212
409,K04044.01,0.742623852
410,K04045.01,0.827107144
411,K04046.01,1.901717712
412,K02195.02,1.772031562
413,K04047.01,1.025547158
414,K00116.02,2.531648394
415,K00798.01,2.214766429
416,K00799.01,6.378702049
417,K00800.01,3.257716103
418,K00800.02,3.376754338
419,K00801.01,8.708848198
420,K00802.01,12.75063312
421,K00803.01,1.540944492
422,K00804.01,2.632819973
423,K00805.01,13.41817551
424,K00806.01,9.372568266
425,K00116.03,0.815488357
426,K00806.02,13.97878007
427,K00806.03,1.365335793
428,K00807.01,2.830707388
429,K00808.01,1.768973699
430,K04048.01,1.019667324
431,K04049.01,2.407429266
432,K04050.01,2.394961922
433,K04051.01,2.973029065
434,K04052.01,0.799779678
435,K04053.01,1.030547856
436,K04054.01,2.210225502
437,K04055.01,0.815302701
438,K04056.01,2.019546999
439,K02195.03,1.625206089
440,K00809.01,12.14792833
441,K00810.01,2.569915365
442,K00811.01,3.654692235
443,K00812.01,2.170208997
444,K00812.02,2.097868697
445,K00812.03,2.001414964
446,K00116.04,0.935880788
447,K00812.04,1.278011965
448,K00813.01,7.67829379
449,K00814.01,2.766601476
450,K00815.01,33.25425924
451,K00816.01,4.332991756
452,K00817.01,1.739661898
453,K00817.02,1.962842208
454,K04057.01,1.694510368
455,K04058.01,0.682190652
456,K04059.01,0.980276589
457,K04060.01,1.919071084
458,K04061.01,0.848792852
459,K04062.01,2.937252069
460,K04063.01,1.047875018
461,K04064.01,1.318382308
462,K04065.01,2.621025359
463,K04066.01,3.462308974
464,K00818.01,2.290208275
465,K00819.01,23.96768245
466,K00820.01,30.6659967
467,K00011.01,2.113747743
468,K00117.01,2.92657139
469,K00821.01,3.568962864
470,K00822.01,11.32315718
471,K00823.01,8.728451284
472,K00824.01,9.585089739
473,K00825.01,2.291333132
474,K00825.02,1.586877962
475,K00826.01,2.582802073
476,K00827.01,3.411046086
477,K00828.01,5.346891733
478,K00829.01,3.167399937
479,K02220.04,0.96322682
480,K04067.01,3.403073801
481,K04068.01,3.841536396
482,K04069.01,1.444949439
483,K04070.01,1.189829751
484,K04071.01,1.20444852
485,K04072.01,0.815243728
486,K04073.01,4.992889495
487,K04074.01,2.285534113
488,K04075.01,0.982255464
489,K00117.02,1.702334129
490,K00829.02,2.104890861
491,K00829.03,3.474605951
492,K00830.01,9.777234923
493,K00831.01,12.01989125
494,K00832.01,19.24007349
495,K00833.01,44.49190547
496,K00834.01,5.853077255
497,K00834.02,2.380546282
498,K00834.03,1.756414619
499,K00834.04,1.137197378
500,K00117.03,1.57475572
501,K00834.05,2.090595352
502,K00835.01,2.255217587
503,K04076.01,2.469759433
504,K02220.05,1.04185758
505,K04077.01,0.541569365
506,K04078.01,1.947159739
507,K04079.01,1.689032425
508,K04080.01,1.356609963
509,K04081.01,4.323053702
510,K04082.01,1.165121127
511,K04083.01,1.625445258
512,K04084.01,3.011610558
513,K00835.02,2.276972097
514,K00836.01,2.484076784
515,K00837.01,1.992372427
516,K00837.02,1.2777171
517,K00838.01,13.16409987
518,K00839.01,17.73014446
519,K00840.01,7.693255476
520,K00841.01,5.72673728
521,K00117.04,1.073462778
522,K00841.02,7.342588493
523,K00841.03,2.802146948
524,K00842.01,2.17256792
525,K00842.02,2.611327565
526,K00843.01,5.940117139
527,K00844.01,3.634488498
528,K04085.01,1.583972992
529,K04086.01,1.108291836
530,K02243.02,1.707663547
531,K04087.01,1.576851448
532,K04088.01,1.650765455
533,K04089.01,1.248492667
534,K04090.01,1.251379071
535,K04091.01,2.660187846
536,K04092.01,2.942232017
537,K04093.01,1.60406752
538,K00845.01,3.518988647
539,K00846.01,16.29443414
540,K00847.01,5.415431546
541,K00848.01,11.55981393
542,K00118.01,1.681911973
543,K00849.01,2.40075002
544,K00850.01,8.4390464
545,K00851.01,5.377688781
546,K00852.01,2.113201696
547,K00853.01,2.171858059
548,K00853.02,1.626761231
549,K00854.01,2.197292926
550,K00855.01,12.23455322
551,K00856.01,14.99423082
552,K04094.01,0.677098218
553,K04095.01,1.005472288
554,K04096.01,1.271841635
555,K02250.02,1.851514156
556,K04097.01,0.874133799
557,K04097.02,0.517576062
558,K04098.01,2.218140999
559,K04099.01,1.346005731
560,K04100.01,3.533142184
561,K04101.01,2.931507655
562,K00857.01,2.050897739
563,K00119.01,3.853737269
564,K00857.02,2.43471414
565,K00858.01,14.88523985
566,K00859.01,2.352916307
567,K00861.01,1.785791945
568,K00862.01,16.00354401
569,K00863.01,2.672899819
570,K00864.01,2.680326058
571,K00864.02,2.379563398
572,K00864.03,2.574174531
573,K00865.01,6.856165502
574,K00119.02,3.384595572
575,K00866.01,3.728845411
576,K00867.01,3.252583261
577,K04102.01,1.084694963
578,K04103.01,2.323769413
579,K04104.01,3.337875795
580,K04105.01,3.720316158
581,K02257.02,1.803396498
582,K04106.01,0.754767936
583,K04107.01,2.628670016
584,K04108.01,0.993303085
585,K04109.01,1.625297825
586,K04110.01,1.848955161
587,K04120.01,1.90285349
588,K04121.01,2.775080493
589,K04122.01,1.038485194
590,K04123.01,1.420759559
591,K04124.01,1.053870613
592,K04125.01,0.779108525
593,K02287.02,2.096610605
594,K04126.01,1.55371107
595,K04127.01,2.49832861
596,K04128.01,4.225311298
597,K01212.01,1.690998194
598,K01213.01,1.158602418
599,K01214.01,1.382197723
600,K01215.01,2.926374814
601,K01215.02,3.364249863
602,K01216.01,1.786228782
603,K01217.01,1.110113449
604,K01218.01,2.27619671
605,K01219.01,0.615023601
606,K00153.01,2.468383395
607,K01220.01,1.960068289
608,K01221.01,2.935843268
609,K01221.02,2.210376211
610,K01222.01,1.970377656
611,K00167.01,2.455114454
612,K01405.01,2.371481903
613,K01406.01,2.861635487
614,K01407.01,0.774250891
615,K01408.01,1.244331789
616,K01409.01,3.784105362
617,K01410.01,2.536934129
618,K01412.01,2.508714423
619,K01413.01,1.537799262
620,K01413.02,1.430009594
621,K01413.03,1.724634686
622,K00168.01,3.692325791
623,K01414.01,0.953944021
624,K01415.01,64.77907859
625,K01416.01,16.66185821
626,K01589.03,2.337452257
627,K01589.04,1.236217532
628,K01589.05,2.013493523
629,K01590.01,1.636065871
630,K00185.01,17.66986088
631,K01590.02,1.178587737
632,K01590.03,1.139818403
633,K01591.01,3.014397582
634,K01592.01,2.784839444
635,K01593.01,2.148039491
636,K01593.02,1.982805684
637,K01594.01,1.900243385
638,K01595.01,2.965690194
639,K01596.01,1.339147382
640,K01596.02,3.084946848
641,K01022.01,2.589900683
642,K01023.01,1.643601319
643,K01024.01,1.761481935
644,K00137.03,1.82425986
645,K01025.01,2.66115981
646,K01028.01,8.469188192
647,K01029.01,3.058212389
648,K01030.01,2.366567481
649,K01031.01,2.030737685
650,K01032.01,25.42918803
651,K01034.01,11.86243315
652,K01035.01,16.82139129
653,K01036.01,17.52108493
654,K01037.01,5.879407639
655,K00138.01,23.35399121
656,K01038.01,29.99042742
657,K01039.01,9.856147444
658,K01223.01,11.52457206
659,K01224.01,21.26306823
660,K01225.01,23.0213394
661,K01226.01,34.16506556
662,K01227.01,28.43812515
663,K01228.01,13.65324872
664,K00153.02,2.070741085
665,K01229.01,44.3084337
666,K01230.01,37.16076649
667,K01231.01,3.083826359
668,K01232.01,16.33772474
669,K01233.01,5.160798932
670,K01234.01,3.95993248
671,K01235.01,1.782297244
672,K01236.01,4.278769294
673,K01236.02,2.661574806
674,K01236.03,3.162267096
675,K01417.01,13.85211902
676,K01418.01,32.87202638
677,K01419.01,7.279897935
678,K01420.01,4.515699066
679,K01421.01,9.330850279
680,K01422.01,1.911164324
681,K01422.02,1.965769019
682,K00168.02,2.810088655
683,K01422.03,1.52893146
684,K01423.01,5.159270001
685,K01424.01,1.474807286
686,K01425.01,2.31910508
687,K01426.01,3.21197921
688,K01426.02,7.69830095
689,K00186.01,12.36027507
690,K01597.01,2.67795403
691,K01598.01,3.302491953
692,K01598.02,2.509304153
693,K01598.03,1.474326765
694,K01599.01,1.929074664
695,K01600.01,2.170208997
696,K01601.01,1.585501924
697,K01601.02,1.979092565
698,K01602.01,1.709268925
699,K01603.01,1.657536437
700,K00187.01,14.19477441
701,K01604.01,5.304081652
702,K01605.01,6.061121143
703,K01040.01,3.956110152
704,K01041.01,10.98701068
705,K01042.01,9.129905001
706,K01043.01,4.295205307
707,K01044.01,27.40937269
708,K01045.01,2.031294653
709,K01046.01,1.700870723
710,K01047.01,1.647751276
711,K00014.01,4.788613331
712,K00139.01,7.334939468
713,K01048.01,1.251485004
714,K01049.01,1.624162048
715,K01050.01,1.440035016
716,K01050.02,1.433395085
717,K01051.01,2.314638416
718,K01052.01,2.506519314
719,K01052.02,1.620765636
720,K01052.03,2.512362016
721,K00154.01,1.057146895
722,K01237.01,3.798302583
723,K01238.01,1.912212735
724,K01239.01,1.383136924
725,K01239.02,1.525163736
726,K01240.01,1.405044328
727,K01240.02,2.413745937
728,K01241.01,7.859668745
729,K01241.02,3.840675826
730,K01242.01,52.59524221
731,K01243.01,1.804139122
732,K00155.01,3.75232543
733,K01244.01,1.625035723
734,K01245.01,2.080176776
735,K01246.01,2.588317147
736,K01247.01,21.89274773
737,K01426.03,14.76510952
738,K01427.01,1.364800667
739,K01428.01,1.462504848
740,K01429.01,4.826618199
741,K00168.03,1.952358106
742,K01430.01,2.239939193
743,K01430.02,2.57974421
744,K01430.03,2.545070228
745,K01431.01,8.4562578
746,K01432.01,1.899915757
747,K01432.02,1.578512523
748,K01432.03,1.194204679
749,K01432.04,1.652228861
750,K01433.01,2.216513779
751,K01434.01,1.011683026
752,K00169.01,2.210398053
753,K01606.01,1.598039161
754,K01607.01,2.169444532
755,K01608.01,1.840833477
756,K01608.02,1.608435895
757,K01609.01,2.384696239
758,K01610.01,1.124419879
759,K01612.01,0.773977868
760,K01613.01,1.074341913
761,K00021.01,18.34717751
762,K00188.01,8.270274209
763,K01615.01,1.170194995
764,K01616.01,1.379707749
765,K01618.01,0.770614218
766,K01619.01,0.797687226
767,K01621.01,2.47948999
768,K01622.01,3.618063406
769,K01626.01,2.045382665
770,K01627.01,2.140285625
771,K01627.02,1.432827196
772,K01052.04,2.57078904
773,K01053.01,1.266741556
774,K00139.02,1.493591301
775,K01054.01,18.48433359
776,K01055.01,17.45712099
777,K01056.01,2.299949753
778,K01057.01,2.512908063
779,K01058.01,6.781903117
780,K01059.01,1.04824633
781,K01060.01,2.031294653
782,K01060.02,1.439510811
783,K01060.03,1.97171001
784,K01060.04,1.463886347
785,K00140.01,8.930008134
786,K01061.01,2.349596341
787,K01062.01,3.002712177
788,K01063.01,154.3783937
789,K01248.01,16.98251882
790,K01249.01,22.3560358
791,K01250.01,23.71481903
792,K01251.01,19.35627228
793,K01252.01,8.230019628
794,K01253.01,10.40001021
795,K00156.01,1.599873879
796,K01254.01,3.402287493
797,K01255.01,7.243858836
798,K01256.01,27.15382272
799,K01257.01,7.073492188
800,K01258.01,4.945481699
801,K01258.02,2.197991866
802,K01258.03,17.61329041
803,K01259.01,1.408080349
804,K01260.01,1.720703148
805,K01261.01,7.026248206
806,K00156.02,1.181335445
807,K01435.01,2.262862244
808,K01435.02,2.147078449
809,K01436.01,1.40355908
810,K01436.02,1.916624794
811,K01436.03,1.493984455
812,K01437.01,1.801954934
813,K01438.01,1.395794292
814,K01439.01,7.804266821
815,K01440.01,1.635956662
816,K01441.01,1.690998194
817,K00170.01,5.264111015
818,K01442.01,1.228042117
819,K01443.01,43.68375599
820,K01444.01,3.475348575
821,K01445.01,1.28039273
822,K01628.01,2.854794611
823,K00189.01,9.881871716
824,K01629.01,1.494530502
825,K01630.01,1.740524653
826,K01632.01,1.351269624
827,K01633.01,1.711857188
828,K01637.01,1.447570464
829,K01639.02,1.362933187
830,K01641.01,1.362933187
831,K01643.01,2.047239224
832,K01644.01,10.47864097
833,K01646.01,0.943569129
834,K00190.01,17.2802673
835,K01647.01,1.970880019
836,K01647.02,1.960264866
837,K01647.03,1.093360729
838,K01648.01,1.408801131
839,K01649.01,1.053259041
840,K01650.01,2.237154353
841,K01651.01,2.730671587
842,K01064.01,19.09904485
843,K01065.01,17.69456404
844,K01066.01,9.695609641
845,K01067.01,37.13992934
846,K01068.01,17.08733799
847,K01069.01,4.242129544
848,K01069.02,2.376614744
849,K00141.01,5.430862833
850,K01070.01,2.439519353
851,K01070.02,4.132701735
852,K01070.03,2.840536233
853,K01071.01,1.199992777
854,K01072.01,2.639732928
855,K01073.01,0.991970731
856,K01074.01,11.10472748
857,K01075.01,9.399896823
858,K01076.01,4.805169475
859,K01077.01,1.228278009
860,K00142.01,3.78473004
861,K01261.02,2.02113818
862,K01262.01,4.773105598
863,K01263.01,6.339605088
864,K01264.01,3.172532779
865,K01265.01,1.724634686
866,K01266.01,2.047217382
867,K01267.01,4.16939609
868,K01268.01,11.95973871
