rowid,koi_pdisposition,koi_disposition,koi_prad,
129,CANDIDATE,CANDIDATE,1.63,1
629,CANDIDATE,CANDIDATE,1.63,1
642,FALSE POSITIVE,FALSE POSITIVE,1.63,0
733,FALSE POSITIVE,FALSE POSITIVE,1.63,0
815,CANDIDATE,CANDIDATE,1.63,1
1044,CANDIDATE,CANDIDATE,1.63,1
1379,CANDIDATE,CONFIRMED,1.63,1
1564,CANDIDATE,CANDIDATE,1.63,1
1679,CANDIDATE,CANDIDATE,1.63,1
1729,FALSE POSITIVE,FALSE POSITIVE,1.63,0
1902,CANDIDATE,CANDIDATE,1.63,1
1915,CANDIDATE,CONFIRMED,1.63,1
1927,CANDIDATE,CANDIDATE,1.63,1
2070,CANDIDATE,CANDIDATE,1.63,1
2337,CANDIDATE,CANDIDATE,1.63,1
2772,FALSE POSITIVE,FALSE POSITIVE,1.63,0
2945,CANDIDATE,CONFIRMED,1.63,1
2987,CANDIDATE,CANDIDATE,1.63,1
4938,FALSE POSITIVE,FALSE POSITIVE,1.63,0
4996,CANDIDATE,CANDIDATE,1.63,1
5599,FALSE POSITIVE,FALSE POSITIVE,1.63,0
5912,CANDIDATE,CANDIDATE,1.63,1
5972,FALSE POSITIVE,FALSE POSITIVE,1.63,0
6136,FALSE POSITIVE,FALSE POSITIVE,1.63,0
6292,NOT DISPOSITIONED,NOT DISPOSITIONED,1.63,0
6632,NOT DISPOSITIONED,NOT DISPOSITIONED,1.63,0
6912,CANDIDATE,CANDIDATE,1.63,1
5151,CANDIDATE,CANDIDATE,1.631,1
4113,CANDIDATE,CANDIDATE,1.635,1
6170,CANDIDATE,CANDIDATE,1.636,1
6275,NOT DISPOSITIONED,NOT DISPOSITIONED,1.636,0
11,CANDIDATE,CANDIDATE,1.638,1
749,CANDIDATE,CONFIRMED,1.64,1
1219,CANDIDATE,CONFIRMED,1.64,1
1275,CANDIDATE,CANDIDATE,1.64,1
1345,CANDIDATE,CANDIDATE,1.64,1
2083,CANDIDATE,CONFIRMED,1.64,1
2148,CANDIDATE,CANDIDATE,1.64,1
2722,FALSE POSITIVE,FALSE POSITIVE,1.64,0
2941,CANDIDATE,CONFIRMED,1.64,1
3154,FALSE POSITIVE,FALSE POSITIVE,1.64,0
3183,CANDIDATE,CONFIRMED,1.64,1
3630,CANDIDATE,CONFIRMED,1.64,1
3706,CANDIDATE,CANDIDATE,1.64,1
3823,CANDIDATE,CONFIRMED,1.64,1
3848,CANDIDATE,CONFIRMED,1.64,1
4106,CANDIDATE,CANDIDATE,1.64,1
4994,CANDIDATE,CANDIDATE,1.64,1
4998,CANDIDATE,CANDIDATE,1.64,1
5572,CANDIDATE,CANDIDATE,1.64,1
6207,CANDIDATE,CANDIDATE,1.64,1
6452,CANDIDATE,CANDIDATE,1.64,1
6471,FALSE POSITIVE,FALSE POSITIVE,1.64,0
6605,NOT DISPOSITIONED,NOT DISPOSITIONED,1.64,0
6784,NOT DISPOSITIONED,NOT DISPOSITIONED,1.64,0
6876,NOT DISPOSITIONED,NOT DISPOSITIONED,1.64,0
5959,NOT DISPOSITIONED,NOT DISPOSITIONED,1.646,0
6307,FALSE POSITIVE,FALSE POSITIVE,1.647,0
532,FALSE POSITIVE,FALSE POSITIVE,1.65,0
1073,FALSE POSITIVE,FALSE POSITIVE,1.65,0
1277,CANDIDATE,CANDIDATE,1.65,1
1280,CANDIDATE,CANDIDATE,1.65,1
1447,CANDIDATE,CANDIDATE,1.65,1
1855,CANDIDATE,CONFIRMED,1.65,1
1988,CANDIDATE,CANDIDATE,1.65,1
2947,CANDIDATE,CANDIDATE,1.65,1
3044,CANDIDATE,CANDIDATE,1.65,1
3503,CANDIDATE,CONFIRMED,1.65,1
4178,CANDIDATE,CANDIDATE,1.65,1
5742,FALSE POSITIVE,FALSE POSITIVE,1.65,0
5827,FALSE POSITIVE,FALSE POSITIVE,1.65,0
6387,FALSE POSITIVE,FALSE POSITIVE,1.65,0
6609,CANDIDATE,CANDIDATE,1.65,1
7215,NOT DISPOSITIONED,NOT DISPOSITIONED,1.65,0
7243,NOT DISPOSITIONED,NOT DISPOSITIONED,1.65,0
4714,CANDIDATE,CANDIDATE,1.652,1
5281,FALSE POSITIVE,FALSE POSITIVE,1.652,0
5793,NOT DISPOSITIONED,NOT DISPOSITIONED,1.657,0
6063,CANDIDATE,CANDIDATE,1.657,1
6688,NOT DISPOSITIONED,NOT DISPOSITIONED,1.658,0
6882,NOT DISPOSITIONED,NOT DISPOSITIONED,1.659,0
82,FALSE POSITIVE,FALSE POSITIVE,1.66,0
243,CANDIDATE,CONFIRMED,1.66,1
344,CANDIDATE,CONFIRMED,1.66,1
699,CANDIDATE,CANDIDATE,1.66,1
1294,CANDIDATE,CANDIDATE,1.66,1
2320,CANDIDATE,CANDIDATE,1.66,1
2407,CANDIDATE,CANDIDATE,1.66,1
2424,CANDIDATE,CONFIRMED,1.66,1
2526,CANDIDATE,CANDIDATE,1.66,1
2631,CANDIDATE,CANDIDATE,1.66,1
2902,CANDIDATE,CONFIRMED,1.66,1
3432,FALSE POSITIVE,FALSE POSITIVE,1.66,0
3633,CANDIDATE,CONFIRMED,1.66,1
4389,CANDIDATE,CANDIDATE,1.66,1
4500,CANDIDATE,CANDIDATE,1.66,1
6571,NOT DISPOSITIONED,NOT DISPOSITIONED,1.66,0
6741,NOT DISPOSITIONED,NOT DISPOSITIONED,1.66,0
6771,NOT DISPOSITIONED,NOT DISPOSITIONED,1.663,0
4060,CANDIDATE,CANDIDATE,1.664,1
6465,CANDIDATE,CANDIDATE,1.666,1
5374,CANDIDATE,CANDIDATE,1.667,1
6490,NOT DISPOSITIONED,NOT DISPOSITIONED,1.667,0
44,FALSE POSITIVE,FALSE POSITIVE,1.668,0
5076,FALSE POSITIVE,FALSE POSITIVE,1.668,0
7281,NOT DISPOSITIONED,NOT DISPOSITIONED,1.668,0
314,CANDIDATE,CANDIDATE,1.67,1
337,CANDIDATE,CONFIRMED,1.67,1
2005,CANDIDATE,CANDIDATE,1.67,1
2464,CANDIDATE,CANDIDATE,1.67,1
3253,CANDIDATE,CANDIDATE,1.67,1
3396,CANDIDATE,CONFIRMED,1.67,1
3960,CANDIDATE,CANDIDATE,1.67,1
4114,CANDIDATE,CANDIDATE,1.67,1
4426,FALSE POSITIVE,FALSE POSITIVE,1.67,0
5125,CANDIDATE,CANDIDATE,1.67,1
5777,FALSE POSITIVE,FALSE POSITIVE,1.67,0
6064,FALSE POSITIVE,FALSE POSITIVE,1.67,0
6208,NOT DISPOSITIONED,NOT DISPOSITIONED,1.67,0
6436,NOT DISPOSITIONED,NOT DISPOSITIONED,1.67,0
6484,NOT DISPOSITIONED,NOT DISPOSITIONED,1.67,0
6491,NOT DISPOSITIONED,NOT DISPOSITIONED,1.67,0
6506,CANDIDATE,CANDIDATE,1.67,1
6697,CANDIDATE,CANDIDATE,1.67,1
4354,CANDIDATE,CANDIDATE,1.671,1
4935,CANDIDATE,CANDIDATE,1.675,1
4856,FALSE POSITIVE,FALSE POSITIVE,1.677,0
4487,CANDIDATE,CANDIDATE,1.679,1
1146,CANDIDATE,CANDIDATE,1.68,1
1849,FALSE POSITIVE,FALSE POSITIVE,1.68,0
2324,CANDIDATE,CANDIDATE,1.68,1
2942,FALSE POSITIVE,FALSE POSITIVE,1.68,0
3164,CANDIDATE,CONFIRMED,1.68,1
3387,CANDIDATE,CONFIRMED,1.68,1
3557,FALSE POSITIVE,FALSE POSITIVE,1.68,0
4057,CANDIDATE,CANDIDATE,1.68,1
4353,FALSE POSITIVE,FALSE POSITIVE,1.68,0
