NaN,7.12332,2005,13
NaN,1.0348,2008,147
0.422,0.0825071,2010,50
NaN,0.185935,2011,88
NaN,0.00848679,2011,187
NaN,3.57989,1999,154
NaN,0.644279,2009,32
NaN,0.0171709,2011,179
1.29,1.10724,2012,0
NaN,1.71662,2011,678
NaN,0.016075,2010,NaN
NaN,1.86459,2007,NaN
NaN,2.75822,1993,55
1.274,0.671507,2007,9
1.024,4.07346,2011,15
NaN,0.00354639,2012,459
NaN,1.74552,2001,170
1.16,1.00188,2012,13
NaN,2.4209,2006,30
1.33,2.47651,2011,8
NaN,5.21486,2003,49
1.827,0.76507,2011,9
NaN,NaN,2006,NaN
NaN,2.11299,2010,13
NaN,2.60901,2010,96
NaN,1.42633,2010,57
1.31,2.08495,2012,14
NaN,0.830886,2006,27
1.242,0.531143,2007,13
1.61,4.50213,2009,9
0.187182,NaN,2011,NaN
1.12,0.559004,2010,43
NaN,NaN,1992,NaN
1.077,0.904818,2007,26
NaN,0.357927,2006,64
1.09635,0,2011,NaN
NaN,1.2147,2003,58
1.22,0.581308,2011,24
NaN,1.14167,2011,15
1.08,2.14822,2011,12
0.1498,0.0155646,2009,106
NaN,1.47372,2012,43
1.302,1.85957,2013,33
1.029,3.89024,2001,46
0.96,0.510798,2011,0
0.205901,0.0238819,2011,52
1.7,0.877779,2012,0
NaN,6.62738,2009,37
NaN,1.58936,2004,155
NaN,0.0191104,2007,240
NaN,2.04683,2000,25
NaN,0.68665,2005,66
NaN,0.639382,2000,31
NaN,3.50088,2010,36
0.282556,NaN,2011,NaN
1.336,1.87299,2007,7
NaN,3.87441,2006,53
0.198671,0,2011,NaN
NaN,0.0565295,2011,66
NaN,1.84394,2012,18
1.323,0.668332,2010,9
NaN,1.51716,2011,24
NaN,2.46312,2008,147
NaN,1.79992,2002,28
0.211,NaN,2012,NaN
0.565,0.0586313,2011,13
0.0773688,0,2011,NaN
NaN,1.32811,2006,17
0.173812,NaN,2011,NaN
NaN,1.34632,2012,53
NaN,0.640416,2009,107
NaN,7.46144,1996,74
NaN,0.0509774,2011,149
NaN,0.045941,2010,83
1.43,2.33146,2010,22
0.3767,0.0725512,2004,59
NaN,18.4135,2004,149
1.16,1.79324,2011,13
NaN,1.5591,2010,22
NaN,9.26951,2002,38
1.73,0.619927,2012,14
NaN,5.31949,2012,40
NaN,1.06409,1997,26
NaN,7.40012,2005,NaN
NaN,1.06828,2009,30
0.248685,NaN,2012,NaN
NaN,2.6885,2010,18
NaN,NaN,2005,NaN
NaN,NaN,2004,NaN
NaN,0.648109,2003,66
NaN,2.61546,2005,207
NaN,1.77342,2004,206
NaN,0.368054,2013,103
1.2,3.21573,2011,8
1.389,0.477697,2009,11
0.211,NaN,2012,NaN
NaN,1.88123,2010,25
0.995,0.197162,2011,31
NaN,0.807031,2007,122
0.93,1.7613,2011,15
1.22,18.1767,2011,13
NaN,4.68383,2008,34
0.320884,0,2011,NaN
0.213923,0,2011,NaN
0.252,NaN,2012,NaN
NaN,4.31096,2008,33
1.01,21.799,2008,35
0.825,0.267451,2012,16
0.622714,0.0515706,2011,NaN
NaN,0.543322,2007,170
NaN,11.6809,2002,108
NaN,0.397195,2004,130
NaN,1.6984,2007,30
NaN,1.08667,2007,17
0.902041,NaN,2013,NaN
1.31,3.48002,2011,33
NaN,2.51504,2007,20
NaN,NaN,2010,NaN
NaN,NaN,2013,NaN
0.2389,0.0203507,2009,27
NaN,1.63997,1997,95
1.19,0.566683,2012,10
NaN,4.53249,2001,30
NaN,2.3408,2001,107
0.823,0.16858,2010,6
NaN,8.24664,2004,206
NaN,0.00743617,2011,187
0.374365,0,2011,NaN
0.357,NaN,2012,NaN
NaN,10.0105,2010,21
NaN,1.49247,2011,47
0.191639,NaN,2011,NaN
NaN,0.0134408,2011,179
NaN,0.730294,2012,86
0.249,NaN,2012,NaN
1.24,1.01508,2011,7
NaN,5.22845,2011,54
NaN,2.71808,2009,52
NaN,0.232142,2003,35
NaN,10.088,2002,42
NaN,1.3131,2011,142
0.654,0.359837,2005,16
NaN,0.239279,2008,NaN
1.144,2.483,2012,44
NaN,2.16817,2002,39
1.21,1.0213,2013,NaN
1.363,1.77867,2008,NaN
NaN,0.101571,2003,39
NaN,1.58935,2004,155
1.09,2.70891,2011,112
NaN,0.0498139,2013,32
0.25849,0,2011,NaN
NaN,1.44975,2012,43
1.224,0.521174,2009,44
NaN,0.73,2012,28
NaN,0.227816,2011,62
NaN,NaN,2013,NaN
0.164007,NaN,2011,NaN
NaN,1.16502,2007,29
1.254,1.05391,2007,8
NaN,7.63003,2000,37
0.7538,0.333,2011,NaN
0.240663,NaN,2011,NaN
0.254925,NaN,2013,NaN
1.497,0,2006,29
NaN,1.4572,2003,154
NaN,NaN,2012,NaN
NaN,0.535482,2009,107
1.067,0.752484,2004,8
NaN,0.807457,2002,41
0.143507,NaN,2011,NaN
NaN,1.96509,2010,68
0.97,2.75448,2010,19
NaN,11.0873,2009,58
1.39,0.562022,2012,25
NaN,2.36493,2013,67
NaN,1.9747,2008,NaN
0.23175,0,2011,NaN
NaN,0.106179,2005,51
NaN,0.26689,2011,35
NaN,2.8434,2002,44
0.91,0.539752,2009,7
NaN,6.84182,2004,38
NaN,0.176652,2005,57
NaN,1.56395,2010,12
NaN,0.354314,2011,46
NaN,0.384566,2005,34
NaN,1.2654,2012,54
0.0481326,NaN,2013,NaN
NaN,6.63106,2007,46
0.28523,NaN,2011,NaN
NaN,0.865,2013,77
NaN,1.74473,2005,37
1.09,7.56823,2011,8
1.19,0.717419,2008,20
1.132,0.292129,2011,47
NaN,2.57917,2007,70
0.249577,0,2011,NaN
0.419091,NaN,2012,NaN
NaN,0.033876,2013,153
0.39754,NaN,2011,NaN
NaN,NaN,2013,NaN
NaN,5.92499,2003,41
0.327926,0.0254888,2012,NaN
0.983,0.566435,2007,10
0.2781,0.0191935,2011,21
NaN,0.803694,2006,33
NaN,2.13623,2006,43
1.43,0.377818,2012,23
0.347625,0,2011,NaN
NaN,7.77836,2010,13
1.289,4.1951,2010,27
1.783,0.913019,2007,3
NaN,9.88561,2007,20
NaN,4.89701,2011,69
0.203227,NaN,2013,NaN
NaN,0.348285,2009,66
NaN,0.5806,2009,53
NaN,1.89038,2011,19
0.176486,NaN,2011,NaN
NaN,NaN,2013,NaN
NaN,9.68782,2003,22
0.357,0.0772272,2010,NaN
NaN,1.90296,2007,21
0.208761,0.024749,2011,NaN
