rowid,tce_prad,tce_prad_err,flag
2443,0.8573,4.33E-01,0
11849,0.8591,5.73E+00,1
14499,0.8624,9.54E-01,0
12789,0.8632,1.60E-01,0
6434,0.8637,6.37E-01,0
13085,0.864,5.29E-01,0
3986,0.8641,7.51E-02,0
15507,0.8643,2.76E-01,0
8057,0.8644,1.85E-01,0
13429,0.8645,5.14E-01,0
9153,0.8651,1.68E-01,0
7156,0.8656,2.12E-01,0
3177,0.866,1.18E+00,0
14189,0.866,8.43E-01,0
715,0.867,1.53E-01,0
13586,0.867,1.43E-01,0
15623,0.8671,1.76E-01,0
1727,0.8675,9.14E-01,0
2814,0.868,1.79E+00,0
9318,0.8688,2.93E-01,0
9631,0.8688,6.53E-01,0
5768,0.8689,8.42E-01,0
2201,0.8692,7.70E-01,0
7643,0.87,4.45E-01,0
5114,0.8718,5.69E-01,0
4443,0.8736,4.27E-01,0
2987,0.8743,1.23E+00,0
6493,0.8744,1.72E+00,0
9776,0.8744,7.24E-01,0
10083,0.8753,1.23E+00,0
2228,0.8756,4.02E-01,0
6087,0.8761,3.44E-01,0
7660,0.8761,2.20E-01,0
8296,0.8765,1.55E-01,0
4254,0.8767,1.35E+00,0
12637,0.8771,2.19E-01,0
15653,0.8772,4.42E-02,0
627,0.8775,5.49E-01,0
15845,0.8778,1.00E+00,0
14660,0.8781,1.46E-01,0
4372,0.8783,1.91E-01,0
14080,0.8785,4.18E-01,0
14864,0.8788,2.70E-01,0
14042,0.8791,3.20E-01,0
9906,0.8794,1.89E-01,0
10355,0.8794,1.68E-01,0
11558,0.8797,3.87E+00,0
940,0.8798,9.78E-01,0
2940,0.8798,3.74E-01,0
10114,0.8799,1.15E-01,0
9735,0.8814,3.43E-02,0
12273,0.8823,1.73E+00,0
11175,0.8831,7.67E-01,0
12911,0.8833,6.60E-01,0
4282,0.8838,1.24E+00,0
4061,0.8841,2.05E-01,0
8681,0.8842,3.13E-01,0
3676,0.8844,1.32E+00,0
2186,0.8849,7.01E-01,0
6490,0.885,1.63E-01,0
253,0.886,2.12E-01,0
14013,0.8864,1.64E-01,0
2029,0.8867,5.25E-01,0
13528,0.8867,4.47E-01,0
3262,0.8875,1.25E-01,0
11854,0.8878,1.54E-01,0
9546,0.8882,1.08E+00,0
433,0.8887,1.96E-01,0
2404,0.8893,6.92E-01,0
13281,0.89,1.75E+00,0
11426,0.8901,7.99E-01,0
13954,0.8901,6.28E-01,0
13402,0.8903,2.49E-01,0
11298,0.8905,3.09E-01,0
14683,0.8907,1.23E-01,0
9407,0.8909,2.36E-01,0
8392,0.891,6.86E-01,0
12159,0.891,4.95E-01,0
3950,0.8916,2.41E-01,0
7683,0.8922,9.32E-01,0
13547,0.8929,2.15E+00,0
1173,0.893,1.69E-01,0
9588,0.893,1.19E-01,0
11522,0.893,6.71E-01,0
9617,0.8938,3.05E-01,0
6908,0.8939,7.05E-01,0
14731,0.8946,1.13E+00,0
7057,0.8949,3.26E-01,0
8185,0.8953,6.42E-01,0
10664,0.8963,2.94E-01,0
2920,0.8965,1.60E+00,0
5849,0.8968,2.97E-01,0
5423,0.897,4.13E-01,0
10418,0.8975,8.99E-02,0
5846,0.898,2.05E+00,0
15585,0.8986,7.35E-01,0
5304,0.8992,9.30E-01,0
1529,0.9004,2.71E-01,0
8558,0.901,2.19E-01,0
9946,0.9012,1.17E+00,0
7159,0.9019,9.94E-01,0
5662,0.9029,8.04E-01,0
10517,0.903,3.62E-01,0
7550,0.9033,1.03E+00,0
9629,0.9037,2.48E+00,0
16038,0.9039,9.41E-01,0
16002,0.9044,1.36E+00,0
14828,0.9052,2.84E-01,0
13569,0.9054,2.31E-01,0
8127,0.9068,1.38E-01,0
7657,0.9071,1.58E+00,0
5867,0.9073,5.42E-01,0
10448,0.9074,1.01E+00,0
12696,0.9076,3.21E-01,0
10395,0.9079,4.63E-01,0
12867,0.9081,2.48E+00,0
5042,0.9087,6.49E-01,0
670,0.9092,3.62E-01,0
4489,0.9092,4.20E-01,0
3261,0.9101,1.41E-01,0
2039,0.9103,4.21E+02,3
1811,0.9133,9.19E-02,0
3273,0.9133,6.32E-02,0
1701,0.9139,2.03E-01,0
8279,0.9148,8.47E-01,0
