PER,TEFF,R,MSINI,MASS
day,k,rjupiter,mjupiter,mjupiter
30.826557,5560,0.278348,,
44.699576,5502,0.280132,,
2.1451,5326,,1.84394,1.84394
3.162697,5821,0.22928,,
3.234723,5647,1.323,0.668332,0.669376
20.050401,5554,0.206084,,
910,5069,,1.51716,1.51716
34.060467,5908,0.242662,,
16.725948,5787,0.110625,,
604,6095,,2.46312,2.46312
2.927128,5617,0.117763,,
91.353282,6077,0.160585,,
15.274299,5828,0.196271,,
6.27711,5960.48,,1.79992,1.79992
12.883,5755,0.211,,
4.234516,5079,0.565,0.0586313,0.0586489
20.834237,5299,0.209653,,
6.098493,5466,0.0773688,0,0
19.850242,4249,0.203408,,
4.072,5884,,1.32811,1.32811
18.16406,4925,0.173812,,0
1966.1,5740,,1.34632,1.34632
77.473633,4465,0.223035,,
5.326718,5847,0.220359,,
6.308205,5190,0.269426,,
962,4962,,0.640416,0.640416
116.6884,5544.6,,7.46144,7.46144
122.1,5630,,0.0509774,0.0509774
5.6,4746,,0.045941,0.045941
4.309427,5857,0.13739,,
2.99433,6440,1.43,2.33146,2.34813
14.871572,3591,0.125792,,
41.809118,5790,0.192702,,
4.081423,4493,0.082969,,
15.054786,5617,0.165938,,
2.64385,3350,0.3767,0.0725512,0.0726979
4.761702,5790,0.255152,,
4.302149,5333,0.177536,,
25.745718,6108,0.138282,,
8.005777,6031,0.21679,,
1.3283,,,18.4135,18.4135
14.589347,5147,0.200732,,
3.577469,5800,1.16,1.79324,1.79362
9.848183,5829,0.178428,,
2496,5746,,1.5591,1.5591
18.643577,5018,0.175752,,
4.337234,5388,0.148987,,
2127.7,5904.28,,9.26951,9.26951
21.347262,5776,0.201624,,
4.457243,6080,1.73,0.619927,0.6202
745.7,4361,,5.31949,5.31949
87.090195,4997,0.230172,,
11.008151,4351,0.190026,,
39.8449,5822.58,,1.06409,1.06409
15.660544,6169,0.232849,,
2.461069,5378,0.0740476,,
5.996553,6021,0.284593,,
8.472382,5360,0.21679,,
7.518496,5274,0.174859,,
12.691112,5960,0.163262,,
711,5067,,7.40012,7.40012
1770,4884,,1.06828,1.06828
8.307872,5329,0.181104,,
9.3761368,6058,0.248685,,
606.4,,,2.6885,2.6885
25.563222,6248,0.314926,,
77.095691,6248,0.357748,,
2.403679,5979,0.0972433,,
3600,,,,3.8
,,,,2.6
885.5,5500.24,,0.648109,0.648109
4270,5704.36,,2.61546,2.61546
51.638,6067.98,,1.77342,1.77342
13.817124,5731,0.133821,,
5.8881,6489,,0.368054,0.368054
3.024095,6041,1.2,3.21573,3.23143
13.930698,5797,0.106165,,
10.08881,5433,0.413953,,
7.8457,6102,1.193,0.431127,0.43122
4.353011,5826,1.389,0.477697,0.479386
12.883,5755,0.211,,
4218,5829,,1.88123,1.88123
40.101371,6099,0.262289,,
5.508023,4803,0.995,0.197162,0.197205
6.475434,5036,0.164154,,
391.9,5760,,0.807031,0.807031
0.813475,4400,0.93,1.7613,1.77609
43.595792,4625,0.30422,,
21.0874,6260,1.22,18.1767,18.1805
185.84,4813,,4.68383,4.68383
9.360672,5739,0.144527,,
3.701212,5913,0.157909,,
10.3376,5750,0.320884,0,0
8.14561,5800,0.213923,0,0
4.646186,4954,0.135605,,
9.77,4648,0.252,,
952.7,4845,,4.31096,4.31096
4.2568,6740,1.01,21.799,21.8549
12.509529,5949,0.124008,,
100.283134,6239,0.223035,,
4.640382,5330,0.825,0.267451,0.267569
14.85888,5383,0.622714,0.0515706,0.0516
3.930821,6045,0.106165,,
18.010199,6003,0.138282,,
2.566546,6043,0.136497,,
310.54999,5784.28,,0.543322,0.543322
15.771044,5594,0.262289,,
12.125934,5826,0.12936,,
1187.3,6097.41,,11.6809,11.6809
9.825792,6250,0.230172,,
21.997999,5835,,0.397195,0.397195
674.59998,4869,,1.6984,1.6984
44.840975,4954,0.202516,,
3.783986,5208,0.145419,,
8.115317,5938,0.249799,,
141.60001,6208,,1.08667,1.08667
282.5255,5629,0.902041,,
1.9000693,5440,1.31,3.48002,3.48652
11.32972,5821,0.128468,,
418.20001,6021,,2.51504,2.51504
3.132924,5018,0.124008,,
2.75564,4321,0.134713,,
,,,,0.23
0,6080,,,
1.58040482,3026,0.2389,0.0203507,0.0203507
83.446393,6081,0.301543,,
11.448708,6090,0.103488,,
17.028937,5835,0.234633,,
798.5,5674.41,,1.63997,1.63997
3.652836,5500,1.19,0.566683,0.567181
42.473269,6012,0.177536,,
882.7,5967.95,,4.53249,4.53249
14.425281,5502,0.0856455,,
8.01041,6012,0.151664,,
43.130617,5835,0.222143,,
20.026218,5228,0.177536,,
262.70861,5742.75,,2.3408,2.3408
38.90861,,0.823,0.16858,0.168671
2520,6067.98,,8.24664,8.24664
15.31299,5211,0.198947,,
6.766888,5105,0.107949,,
40.114,5401,,0.00743617,0.00743617
42.6318,6340,0.374365,0,0
26.444,5512,0.357,,
7.240193,4954,0.209653,,
25.216751,5436,0.113302,,
696.3,5314,,10.0105,10.0105
1544,5985,,1.49247,1.49247
13.060022,5166,0.0704791,,
59.87756,4017,0.191639,,
28.13,3350,,0.0134408,0.0134408
1155.7,5710,,0.730294,0.730294
9.522,4613,0.249,,
10.937304,5297,0.200732,,
3.24674,5757,1.24,1.01508,1.02109
177.11,4825,,5.22845,5.22845
2.580827,5299,0.117763,,
11.094286,6043,0.360425,,
3.25427,6077,0.143635,,
36.277108,5100,0.270319,,
323.6,4683,,2.71808,2.71808
23.668205,5711,0.27924,,
16.568087,5265,0.238201,,
51.078775,4991,0.320278,,
3.97097,5668.45,,0.232142,0.232142
3.281959,6209,0.130252,,
2151,5949.91,,10.088,10.088
1275,6024,,1.3131,1.3131
2.8758911,6160,0.654,0.359837,0.361471
3.886803,4048,0.101704,,
22.714613,5786,0.319386,,
5405.7,,,0.239279,0.271
55.188023,6169,0.224819,,
67.831024,5835,0.231064,,
1.3371182,4645,1.144,2.483,2.48409
19.254196,5804,0.273887,,
7.650254,5413,0.202516,,
1353,5848.71,,2.16817,2.16817
2.691548,6820,1.413,1.72579,1.72959
53.578637,4710,0.107057,,
14.970418,5727,0.225711,,
7.381998,5560,0.3292,,
114.73635,5600,1.21,1.0213,1.02138
2.204737,6389,1.363,1.77867,1.7916
6.827766,4204,0.103488,,
98.2114,,,0.0089751,0.0122719
4.94737,5662.28,,0.101571,0.101571
442.4,5997.1,,1.58935,1.68512
26.234138,6175,0.174859,,
6.87188,6180,1.09,2.70891,2.70901
157.072878,5594,0.301543,,
5.7361,5370,,0.0498139,0.0498139
13.2907,5750,0.25849,0,0
3724.7,5940,,1.44975,1.44975
3.361006,5450,1.224,0.521174,0.52136
13.137471,5764,0.157909,,
6.195469,4997,0.107949,,
352.3,5558,,0.73,0.73
330,5240,,0.227816,0.227816
,,,,4.5
20.739886,5128,0.169507,,
10.05537,5212,0.0767241,,
7.416397,4257,0.1249,,
2.735926,5302,0.146311,,
5.433074,5232,0.127576,,
56.47542,5797,0.301543,,
4.977656,5631,0.126684,,
30.950851,4984,0.0990276,,
16.3850021,4075,0.16400700000000001,,
383.70001,5582,,1.16502,1.16502
2.788491,5960,1.254,1.05391,1.05561
4.164389,3810,0.211437,,
11.38848,6335,0.213222,,
572.38,5726.63,,7.63003,7.63003
4.125103,5595,0.0820769,,
228.776,4450,0.7538,0.333,0.333
22.7802,3793,0.240663,,
15.5741568,5843,0.254925,,
1.21986983,7430,1.497,0,0
454.2,4965.42,,1.4572,1.4572
,,,,27.1766
2172,4962,,0.535482,0.535482
3.030065,5230,1.067,0.752484,0.752484
828,5600.17,,0.807457,0.807457
122.3874,4925,0.143507,,0
6.312501,4096,0.19181,,
777,6297,,1.96509,1.96509
13.2406,5075,0.97,2.75448,2.75536
516.22,4340,,11.0873,11.0873
5.914323,5580,0.118655,,
24.310856,5923,0.208761,,
4.411953,6230,1.39,0.562022,0.56227
40.714955,5986,0.200732,,
2732,4959,,2.36493,2.36493
33.653079,4942,0.322063,,
1300,4876,,1.9747,1.9747
6.23855,6190,0.23175,0,0
17.0431,4954.92,,0.106179,0.106179
7.406097,4796,0.122223,,
3.546511,6002,0.192702,,
1733,5056,,0.26689,0.26689
34.21154,4955,0.105273,,
1378,5892.35,,2.8434,2.8434
3.722465,4800,0.91,0.539752,0.539755
1143,5494,,6.84182,6.84182
25.827,5963.63,,0.176652,0.176652
21.2234,5479,0.248907,,
479,5040,,1.56395,1.56395
57.435,,,0.354314,0.354314
2.818049,4841,,0.384566,0.384566
392.6,4658,,1.2654,1.2654
12.4417,4925,0.0481326,,0
67.968015,5666,0.158801,,
714.3,4545,,6.63106,6.63106
9.488015,5854,0.277456,,
13.17562,5904,0.28523,,
10.300682,6165,0.208761,,
19.382,6255,,0.865,0.865
2457.8717,6069.67,,1.74473,1.74473
1.51214,6035,1.09,7.56823,7.69464
25.751974,5232,0.223927,,
31.781925,5526,0.2043,,
3.072186,4613,0.155232,,
5.931194,4508,0.186457,,
39.459357,6175,0.222143,,
9.20205,6190,1.19,0.717419,0.717419
4.008778,4990,1.132,0.292129,0.292273
3452,5605,,2.57917,2.57917
12.3318,5800,0.249577,0,0
303.158,5636,0.419091,,
8.631,,,0.033876,0.033876
31.517586,5736,0.253368,,
41.02902,5904,0.39754,,
5.968734,6142,0.305112,,
4.901425,5851,0.161477,,
27.434389,6031,0.231956,,
96.101141,5796,0.336337,,
0,6080,,,
1120,5940.77,,5.92499,5.92499
7.930592,5679,0.285485,,
16.23855,5911,0.327926,0.0254888,0.025489
20.477912,5100,0.351503,,
11.5789,6165,0.182889,,
2.615838,5340,0.983,0.566435,0.56654
16.738661,5100,0.24177,,
12.794585,4096,0.136497,,
9.182417,6189,0.115086,,
22.6845,5663,0.2781,0.0191935,0.0229683
986,6075.15,,0.803694,0.803694
6.1335,5600,,2.13623,2.13623
4.37808,5550,1.43,0.377818,0.378096
29.334,5498,0.347625,0,0.035557
28.7798,6169,0.190026,,
1290,,,7.77836,7.77836
2.936532,5626,0.133821,,
3.553822,5987,0.145419,,
4.224537,6031,0.123115,,
6.87745,4258,0.190026,,
2.77596,6158,1.289,4.1951,4.2025
3.553945,6200,1.783,0.913019,0.925
19.271566,3767,0.172183,,
677.8,4445,,9.88561,9.88561
10.687576,5788,0.210545,,
1056.8,,,4.89701,4.89701
7.1316185,5915,0.203227,,
15.228958,5460,0.272995,,
14.496481,5020,0.178428,,
32.625555,5588,0.380052,,
1353.6,5675,,0.348285,0.348285
57.24809,5643,0.284593,,
11.189562,6186,0.165046,,
5.262155,5600,0.117763,,
950.69651,5485,,0.5806,0.5806
16.087845,5513,0.201624,,
26.695074,6089,0.132037,,
1299,4878,,1.89038,1.89038
17.9801235,6074,0.176486,,
,6080,,,
13.19722,4942,0.362209,,
105.356383,4713,0.223927,,
127.282184,5740,1.11071,,
2770,5607.39,,9.68782,9.68782
3.21346,5857,0.357,0.0772272,0.0772279
1038.1,5628,,1.90296,1.90296
9.4909,5119,0.208761,0.024749,0.024739
10.381227,5098,0.194487,,
5.7293196,5145,0.195205,,
11.903515,6064,0.228388,,
1.678327,5987,0.127576,,
27.014976,5949,0.183781,,
2890,5601,,11.0869,11.0869
62.784697,6054,0.2043,,
912,4973,,1.85721,1.85721
265.469335,5796,0.370238,,
9.522,4613,0.249,,
6.40013,5302,0.178428,,
762,,,1.20645,1.20645
3.57532,5900,1.007,10.371,10.3882
7.186434,6053,0.187349,,
13.060855,5841,0.121331,,
5.629021,6152,0.0883219,,
13.193242,6282,0.239986,,
44.552169,6031,0.196271,,
2166,5897.77,,1.79148,1.79148
1314,5543,,2.2924,2.2924
2.7817387,5600,1.115,0.376728,0.378231
6.097326,5918,0.148987,,
21.301886,5417,0.066,,
27.9481449,4362,0.216597,,
356,4966,,2.17173,2.17173
164253,7193,1.2,,7
3.4442,5192,,0.477325,0.477325
2.971353,5297,0.127576,,
10.065275,3767,0.15434,,
58.11247,5491,,7.69745,7.69745
5.535309,5787,0.121331,,
56.633742,5918,0.238201,,
122.72,5911,,0.0743252,0.0743252
963.6,5616.04,,1.83614,1.83614
31.559999,5360,,0.0367709,0.0367709
2.785755,6131,0.1459,0,0
16.332995,5212,0.110625,,
3.614568,5593,0.103488,,
6.738088,5166,0.0731555,,
14.844387,6620,0.225711,,
67.844469,5877,0.273887,,
4.0845,5675,,0.071203,0.071203
3.940997,5571,0.138282,,
2.70339,6304,1.358,1.454,1.46164
85.3128662,5803,0.508958,,
331.5,4962,,1.14357,1.14357
5.349555,5571,0.202516,,
594.90002,4946,,7.67663,7.67663
31.9996,5663,0.373377,0.0264262,0.0264312
12.51616,6209,0.159693,,
130.08,6067.44,,0.5122,0.5122
19.305772,5918,0.25426,,
9.176092,5905,0.151664,,
50.790412,6169,1.00812,,
2500,5145.75,,1.05448,1.05448
