# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 17 15:56:00 2014
#
# COLUMN pl_massj:       Planet Mass [jup] (val)
# COLUMN pl_massjerr1:   Planet Mass [jup] (upper unc)
# COLUMN pl_massjerr2:   Planet Mass [jup] (lower unc)
# COLUMN pl_massjlim:    Planet Mass [jup] (limit flag)
# COLUMN pl_msinij:      Planet M*sin(i) [jup] (val)
# COLUMN pl_msinijerr1:  Planet M*sin(i) [jup] (upper unc)
# COLUMN pl_msinijerr2:  Planet M*sin(i) [jup] (lower unc)
# COLUMN pl_msinijlim:   Planet M*sin(i) [jup] (limit flag)
# COLUMN st_dist:        Distance (val)
# COLUMN st_disterr1:    Distance (upper unc)
# COLUMN st_disterr2:    Distance (lower unc)
# COLUMN st_distlim:     Distance (limit flag)
# COLUMN pl_disc:        Year of Discovery
#
rowid,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,st_dist,st_disterr1,st_disterr2,st_distlim,pl_disc
621,0.05400,0.00600,-0.00600,0,,,,,,,,,2011
622,0.05200,0.00400,-0.00400,0,,,,,,,,,2011
623,0.06400,,,1,,,,,2119.00,,,0,2011
624,6.00000,,,1,,,,,2119.00,,,0,2011
625,0.02700,0.00700,-0.00700,0,,,,,290.00,30.00,-30.00,0,2011
626,0.05100,0.01000,-0.01200,0,,,,,290.00,30.00,-30.00,0,2011
627,0.06300,,,1,,,,,290.00,30.00,-30.00,0,2011
628,0.01000,,,1,,,,,290.00,30.00,-30.00,0,2011
629,0.04500,,,1,,,,,290.00,30.00,-30.00,0,2011
630,0.03300,,,1,,,,,108.00,10.00,-10.00,0,2011
631,0.11300,,,1,,,,,190.00,,,0,2011
632,0.80000,,,1,,,,,800.00,,,,2011
633,2.70000,,,1,,,,,800.00,,,,2011
634,,,,,,,,,800.00,,,,2014
635,1.60000,,,1,,,,,1200.00,,,0,2011
636,1.60000,,,1,,,,,1200.00,,,0,2011
637,,,,,,,,,1200.00,,,0,2014
638,,,,,,,,,1200.00,,,0,2014
639,12.70000,,,1,,,,,,,,,2011
640,4.16000,,,1,,,,,,,,,2011
641,0.28300,0.04300,-0.04300,0,,,,,,,,,2014
642,0.38000,,,1,,,,,,,,,2011
643,0.37500,,,1,,,,,,,,,2011
644,,,,,,,,,,,,,2014
645,,,,,,,,,,,,,2014
646,9.11000,,,1,,,,,,,,,2011
647,13.80000,,,1,,,,,,,,,2011
648,1.51000,,,1,,,,,,,,,2011
649,1.36000,,,1,,,,,,,,,2011
650,0.40000,,,1,,,,,1400.00,,,0,2011
651,0.30000,,,1,,,,,1400.00,,,0,2011
652,0.03600,0.00400,-0.00400,0,,,,,1400.00,,,0,2012
653,2.01000,0.16000,-0.16000,0,,,,,1400.00,,,0,2012
654,0.07300,0.00800,-0.00800,0,,,,,1400.00,,,0,2012
655,,,,,,,,,2100.00,,,0,2011
656,4.70000,,,1,,,,,2100.00,,,0,2011
657,,,,,,,,,2100.00,,,0,2014
658,4.10000,,,1,,,,,303.00,14.00,-14.00,0,2011
659,0.50000,,,1,,,,,303.00,14.00,-14.00,0,2011
660,,,,,,,,,303.00,14.00,-14.00,0,2012
661,,,,,,,,,303.00,14.00,-14.00,0,2012
662,,,,,,,,,303.00,14.00,-14.00,0,2012
663,,,,,,,,,,,,,2011
664,,,,,,,,,,,,,2011
665,,,,,,,,,,,,,2011
666,,,,,,,,,,,,,2011
667,,,,,,,,,,,,,2011
668,0.22000,0.01100,-0.01000,0,,,,,1499.00,33.00,-33.00,0,2011
669,0.12700,0.02000,-0.02000,0,,,,,1645.00,43.00,-43.00,0,2011
670,0.01400,0.00100,-0.00100,0,,,,,470.00,,,0,2012
671,0.02500,0.00200,-0.00100,0,,,,,470.00,,,0,2012
672,,,,,,,,,66.00,,,0,2013
673,,,,,,,,,66.00,,,0,2013
674,,,,,,,,,66.00,,,0,2013
675,0.38400,,,1,,,,,600.00,,,0,2012
676,18.00000,0.93000,-0.91000,0,,,,,1200.00,250.00,-250.00,0,2011
677,2.20000,0.40000,-0.40000,0,,,,,2700.00,200.00,-200.00,0,2010
678,0.55000,0.09000,-0.09000,0,,,,,770.00,100.00,-100.00,0,2011
679,,,,,,,,,38.70,6.30,-6.30,0,2011
680,,,,,,,,,38.70,6.30,-6.30,0,2011
681,,,,,,,,,38.70,6.30,-6.30,0,2011
682,3.23000,0.19000,-0.19000,0,,,,,1950.00,250.00,-250.00,0,2011
683,1.02000,0.07000,-0.07000,0,,,,,2250.00,300.00,-300.00,0,2011
684,0.50500,0.09000,-0.09000,0,,,,,333.00,33.00,-33.00,0,2011
685,6.00000,,,1,,,,,855.00,68.00,-65.00,0,2012
686,0.37600,0.02100,-0.01900,0,,,,,855.00,68.00,-65.00,0,2012
687,,,,,,,,,855.00,68.00,-65.00,0,2014
688,2.00000,,,1,,,,,1500.00,,,0,2012
689,28.00000,,,1,,,,,1500.00,,,0,2012
690,5.94000,,,1,,,,,,,,,2012
691,11.61000,,,1,,,,,,,,,2012
692,0.02500,0.01450,-0.01450,0,,,,,,,,,2014
693,2.06700,0.07900,-0.07900,0,,,,,,,,,2014
694,0.98000,,,1,,,,,,,,,2012
695,0.72000,,,1,,,,,,,,,2012
696,,,,,,,,,,,,,2014
697,,,,,,,,,,,,,2014
698,,,,,,,,,,,,,2012
699,,,,,,,,,,,,,2012
700,0.00700,0.00500,-0.00300,0,,,,,,,,,2012
701,0.01300,0.00100,-0.00100,0,,,,,,,,,2012
702,0.02400,0.00300,-0.00300,0,,,,,,,,,2014
703,8.70000,,,1,,,,,,,,,2012
704,10.41000,,,1,,,,,,,,,2012
705,,,,,,,,,,,,,2014
706,18.41000,,,1,,,,,,,,,2012
707,,,,,,,,,,,,,2012
708,,,,,,,,,,,,,2014
709,0.92000,,,1,,,,,,,,,2012
710,0.37000,,,1,,,,,,,,,2012
711,,,,,,,,,,,,,2014
712,1.49000,,,1,,,,,,,,,2012
713,1.11000,,,1,,,,,,,,,2012
714,,,,,,,,,,,,,2014
715,,,,,,,,,,,,,2014
716,,,,,,,,,,,,,2014
717,0.07000,0.01200,-0.01100,0,,,,,,,,,2012
718,0.57000,0.06600,-0.06000,0,,,,,,,,,2012
719,18.86000,,,1,,,,,,,,,2012
720,6.95000,,,1,,,,,,,,,2012
721,1.39000,,,1,,,,,,,,,2012
722,2.19000,,,1,,,,,,,,,2012
723,,,,,,,,,,,,,2014
724,2.05000,,,1,,,,,,,,,2012
725,1.37000,,,1,,,,,,,,,2012
726,0.25000,,,1,,,,,,,,,2012
727,0.56000,,,1,,,,,,,,,2012
728,0.68000,,,1,,,,,,,,,2012
729,,,,,,,,,,,,,2013
730,0.03000,,,1,,,,,368.00,,,0,2013
731,0.01300,,,1,,,,,368.00,,,0,2013
732,0.04400,,,1,,,,,368.00,,,0,2013
733,0.11300,,,1,,,,,368.00,,,0,2013
734,0.11000,,,1,,,,,368.00,,,0,2013
735,0.37800,,,1,,,,,200.00,15.00,-15.00,0,2013
736,0.53100,,,1,,,,,1000.00,,,,2012
737,,,,,,,,,,,,,2012
738,,,,,,,,,,,,,2012
739,,,,,,,,,,,,,2012
740,,,,,,,,,1107.00,90.00,-90.00,0,2013
741,,,,,,,,,1107.00,90.00,-90.00,0,2013
742,0.02600,0.00700,-0.00800,0,,,,,135.00,10.00,-10.00,0,2012
743,0.01500,0.00800,-0.01100,0,,,,,135.00,10.00,-10.00,0,2012
744,,,,,0.94700,0.03500,-0.03500,0,135.00,10.00,-10.00,0,2012
745,,,,,,,,,,,,,2013
746,,,,,,,,,,,,,2013
747,0.00140,,,0,,,,,1180.00,95.00,-95.00,0,2011
748,0.00210,,,0,,,,,1180.00,95.00,-95.00,0,2011
749,,,,,,,,,800.00,,,0,2010
750,0.68000,0.09000,-0.09000,0,,,,,1330.00,170.00,-170.00,0,2013
751,9.90000,0.50000,-0.50000,0,,,,,1140.00,250.00,-160.00,0,2013
752,2.00000,0.26000,-0.26000,0,,,,,,,,,2013
753,0.43000,0.03200,-0.03200,0,,,,,570.00,70.00,-70.00,0,2013
754,0.00600,0.00100,-0.00100,0,,,,,,,,,2013
755,,,,,,,,,,,,,2012
756,,,,,,,,,,,,,2012
757,,,,,,,,,,,,,2014
758,,,,,,,,,,,,,2014
759,,,,,,,,,,,,,2012
760,,,,,,,,,,,,,2012
761,,,,,,,,,,,,,2014
762,,,,,,,,,,,,,2014
763,,,,,,,,,,,,,2012
764,,,,,,,,,,,,,2012
765,,,,,,,,,,,,,2014
766,,,,,,,,,,,,,2012
767,,,,,,,,,,,,,2012
768,,,,,,,,,,,,,2014
769,,,,,,,,,,,,,2014
770,,,,,,,,,,,,,2012
771,,,,,,,,,,,,,2012
772,,,,,,,,,,,,,2014
773,,,,,,,,,,,,,2012
774,,,,,,,,,,,,,2012
775,,,,,,,,,,,,,2014
776,,,,,,,,,,,,,2014
777,,,,,,,,,,,,,2014
778,,,,,,,,,,,,,2012
779,,,,,,,,,,,,,2012
780,,,,,,,,,,,,,2014
781,,,,,,,,,,,,,2014
782,,,,,,,,,,,,,2013
783,1.02000,0.02800,-0.02800,0,,,,,,,,,2013
784,0.02000,0.00300,-0.00300,0,,,,,,,,,2013
785,0.02700,0.00800,-0.00800,0,,,,,339.00,25.00,-23.00,0,2013
786,0.62600,0.02900,-0.03300,0,,,,,339.00,25.00,-23.00,0,2013
787,0.03300,0.01400,-0.01400,0,,,,,,,,,2013
788,0.04900,0.01800,-0.04900,0,,,,,,,,,2013
789,0.33400,0.03500,-0.03500,0,,,,,,,,,2013
790,0.11000,0.05700,-0.08800,0,,,,,,,,,2013
791,,,,,,,,,780.00,100.00,-100.00,0,2013
792,,,,,,,,,780.00,100.00,-100.00,0,2013
793,,,,,,,,,780.00,100.00,-100.00,0,2013
794,,,,,,,,,780.00,100.00,-100.00,0,2013
795,,,,,,,,,780.00,100.00,-100.00,0,2013
796,,,,,,,,,780.00,100.00,-100.00,0,2013
797,,,,,,,,,780.00,100.00,-100.00,0,2013
798,0.88000,0.17000,-0.33000,0,,,,,1030.00,150.00,-130.00,0,2013
799,0.20200,0.04400,-0.04400,0,,,,,,,,,2013
800,0.01900,0.00600,-0.00600,0,,,,,,,,,2013
801,0.00800,0.00600,-0.00600,0,,,,,,,,,2014
802,3.00000,,,-1,,,,,,,,,2014
803,0.03400,0.00400,-0.00400,0,,,,,,,,,2014
804,9.83600,0.62900,-0.62900,0,,,,,,,,,2014
805,0.04100,0.00900,-0.00900,0,,,,,,,,,2014
806,0.02700,0.01100,-0.01100,0,,,,,,,,,2014
807,0.01100,0.00600,-0.00600,0,,,,,,,,,2014
808,1.08000,,,-1,,,,,,,,,2014
809,0.01100,0.00500,-0.00500,0,,,,,,,,,2014
810,0.01900,0.00400,-0.00400,0,,,,,,,,,2014
811,0.02300,0.01000,-0.01000,0,,,,,,,,,2014
812,0.00300,0.01300,-0.01300,0,,,,,,,,,2014
813,0.00900,,,1,,,,,,,,,2014
814,,,,,,,,,,,,,2014
815,,,,,,,,,,,,,2014
816,0.00100,0.00500,-0.00500,0,,,,,,,,,2014
817,0.00900,,,1,,,,,,,,,2014
818,0.01200,0.00600,-0.00600,0,,,,,,,,,2014
819,0.02800,0.00600,-0.00600,0,,,,,,,,,2013
820,0.00200,0.01000,-0.01000,0,,,,,,,,,2014
821,0.03100,0.02700,-0.02700,0,,,,,,,,,2014
822,0.11400,0.07900,-0.07900,0,,,,,,,,,2014
823,,,,,,,,,,,,,2014
824,,,,,,,,,,,,,2014
825,,,,,,,,,,,,,2014
826,,,,,,,,,,,,,2013
827,,,,,,,,,,,,,2014
828,0.00050,0.00880,-0.00880,0,,,,,,,,,2014
829,0.03300,0.01000,-0.01000,0,,,,,,,,,2014
830,0.02500,,,1,,,,,,,,,2014
831,0.03500,0.01800,-0.01800,0,,,,,,,,,2014
832,,,,,,,,,,,,,2014
833,,,,,,,,,,,,,2014
834,,,,,,,,,,,,,2014
835,,,,,,,,,,,,,2014
836,,,,,,,,,,,,,2014
837,,,,,,,,,,,,,2014
838,0.00400,0.01700,-0.01700,0,,,,,,,,,2014
839,0.00700,0.02500,-0.02500,0,,,,,,,,,2014
840,,,,,,,,,,,,,2014
841,,,,,,,,,,,,,2014
842,,,,,,,,,,,,,2014
843,,,,,,,,,,,,,2014
844,,,,,,,,,,,,,2014
845,,,,,,,,,,,,,2014
846,0.03700,0.01300,-0.01300,0,,,,,,,,,2014
847,0.02700,,,1,,,,,,,,,2014
848,,,,,,,,,,,,,2014
849,0.00900,0.00200,-0.00200,0,,,,,,,,,2013
850,0.01200,0.00500,-0.00500,0,,,,,,,,,2013
851,,,,,,,,,,,,,2014
852,,,,,,,,,,,,,2014
853,,,,,,,,,,,,,2014
854,,,,,,,,,,,,,2014
855,,,,,,,,,,,,,2014
856,,,,,,,,,,,,,2014
857,,,,,,,,,,,,,2014
858,,,,,,,,,,,,,2014
859,,,,,,,,,,,,,2014
860,,,,,,,,,,,,,2014
861,,,,,,,,,,,,,2014
862,,,,,,,,,,,,,2014
863,,,,,,,,,,,,,2014
864,,,,,,,,,,,,,2014
865,,,,,,,,,,,,,2014
866,,,,,,,,,,,,,2014
867,,,,,,,,,,,,,2014
868,,,,,,,,,,,,,2014
869,,,,,,,,,,,,,2014
870,,,,,,,,,,,,,2014
871,,,,,,,,,,,,,2014
872,,,,,,,,,,,,,2014
873,,,,,,,,,,,,,2014
874,,,,,,,,,,,,,2014
875,,,,,,,,,,,,,2014
876,,,,,,,,,,,,,2014
877,,,,,,,,,,,,,2014
878,,,,,,,,,,,,,2014
879,,,,,,,,,,,,,2014
880,,,,,,,,,,,,,2014
881,,,,,,,,,,,,,2014
882,0.09700,0.01900,-0.01900,0,,,,,,,,,2013
883,0.10500,0.01000,-0.01000,0,,,,,,,,,2013
884,,,,,,,,,,,,,2014
885,,,,,,,,,,,,,2014
886,,,,,,,,,,,,,2014
887,,,,,,,,,,,,,2013
888,,,,,,,,,,,,,2014
889,0.05100,0.01100,-0.01100,0,,,,,,,,,2014
890,0.02600,0.01900,-0.01900,0,,,,,,,,,2014
891,,,,,,,,,,,,,2014
892,,,,,,,,,,,,,2014
893,,,,,,,,,,,,,2014
894,,,,,,,,,,,,,2014
895,,,,,,,,,,,,,2014
896,,,,,,,,,,,,,2014
897,,,,,,,,,,,,,2014
898,,,,,,,,,,,,,2014
899,,,,,,,,,,,,,2014
900,,,,,,,,,,,,,2014
901,,,,,,,,,,,,,2014
902,,,,,,,,,,,,,2014
903,,,,,,,,,,,,,2014
904,,,,,,,,,,,,,2014
905,0.01200,0.00500,-0.00400,0,,,,,,,,,2014
906,0.00300,0.00100,-0.00100,0,,,,,,,,,2014
907,,,,,,,,,,,,,2014
908,,,,,,,,,,,,,2014
909,,,,,,,,,,,,,2014
910,,,,,,,,,,,,,2014
911,,,,,,,,,,,,,2014
912,,,,,,,,,,,,,2014
913,,,,,,,,,,,,,2014
914,,,,,,,,,,,,,2014
915,,,,,,,,,,,,,2014
916,,,,,,,,,,,,,2014
917,,,,,,,,,,,,,2014
918,,,,,,,,,,,,,2014
919,,,,,,,,,,,,,2014
920,0.11700,0.03600,-0.03600,0,,,,,,,,,2013
921,0.25000,0.05200,-0.05200,0,,,,,,,,,2013
922,,,,,,,,,,,,,2014
923,,,,,,,,,,,,,2014
924,,,,,,,,,,,,,2014
925,,,,,,,,,,,,,2014
926,,,,,,,,,,,,,2014
927,,,,,,,,,,,,,2014
928,,,,,,,,,,,,,2014
929,,,,,,,,,,,,,2014
930,,,,,,,,,,,,,2014
931,,,,,,,,,,,,,2014
932,,,,,,,,,,,,,2014
933,,,,,,,,,,,,,2014
934,,,,,,,,,,,,,2014
935,,,,,,,,,,,,,2014
936,,,,,,,,,,,,,2014
937,,,,,,,,,,,,,2014
938,,,,,,,,,,,,,2014
939,,,,,,,,,,,,,2014
940,,,,,,,,,,,,,2014
941,,,,,,,,,,,,,2014
942,,,,,,,,,,,,,2014
943,,,,,,,,,,,,,2014
944,,,,,,,,,,,,,2014
945,,,,,,,,,,,,,2014
946,,,,,,,,,,,,,2014
947,,,,,,,,,,,,,2014
948,,,,,,,,,,,,,2014
949,,,,,,,,,,,,,2014
950,,,,,,,,,,,,,2014
951,,,,,,,,,,,,,2014
952,,,,,,,,,,,,,2014
953,,,,,,,,,,,,,2014
954,,,,,,,,,,,,,2014
955,,,,,,,,,,,,,2014
956,,,,,,,,,,,,,2014
957,,,,,,,,,,,,,2014
958,,,,,,,,,,,,,2014
959,,,,,,,,,,,,,2014
960,,,,,,,,,,,,,2014
961,,,,,,,,,,,,,2014
962,,,,,,,,,,,,,2014
963,,,,,,,,,,,,,2014
964,,,,,,,,,,,,,2014
965,,,,,,,,,,,,,2014
966,,,,,,,,,,,,,2014
967,,,,,,,,,,,,,2014
968,,,,,,,,,,,,,2014
969,,,,,,,,,,,,,2014
970,,,,,,,,,,,,,2014
971,,,,,,,,,,,,,2014
972,,,,,,,,,,,,,2014
973,,,,,,,,,,,,,2014
974,,,,,,,,,,,,,2014
975,,,,,,,,,,,,,2014
976,,,,,,,,,,,,,2014
977,,,,,,,,,,,,,2014
978,,,,,,,,,,,,,2014
979,,,,,,,,,,,,,2014
980,,,,,,,,,,,,,2014
981,,,,,,,,,,,,,2014
982,,,,,,,,,,,,,2014
983,,,,,,,,,,,,,2014
984,,,,,,,,,,,,,2014
985,,,,,,,,,,,,,2014
986,,,,,,,,,,,,,2014
987,,,,,,,,,,,,,2014
988,,,,,,,,,,,,,2014
989,,,,,,,,,,,,,2014
990,,,,,,,,,,,,,2014
991,,,,,,,,,,,,,2014
992,,,,,,,,,,,,,2014
993,,,,,,,,,,,,,2014
994,,,,,,,,,,,,,2014
995,,,,,,,,,,,,,2014
996,0.00600,0.00200,-0.00100,0,,,,,,,,,2013
997,0.02400,0.01100,-0.01000,0,,,,,,,,,2013
998,,,,,,,,,,,,,2014
999,,,,,,,,,,,,,2014
1000,,,,,,,,,,,,,2014
1001,,,,,,,,,,,,,2014
1002,,,,,,,,,,,,,2014
1003,,,,,,,,,,,,,2014
1004,,,,,,,,,,,,,2014
1005,,,,,,,,,,,,,2014
1006,,,,,,,,,,,,,2014
1007,,,,,,,,,,,,,2014
1008,,,,,,,,,,,,,2014
1009,,,,,,,,,,,,,2014
1010,,,,,,,,,,,,,2014
1011,,,,,,,,,,,,,2014
1012,,,,,,,,,,,,,2014
1013,,,,,,,,,,,,,2014
1014,,,,,,,,,,,,,2014
1015,,,,,,,,,,,,,2014
1016,,,,,,,,,,,,,2014
1017,,,,,,,,,,,,,2014
1018,,,,,,,,,,,,,2014
1019,,,,,,,,,,,,,2014
1020,,,,,,,,,,,,,2014
1021,,,,,,,,,,,,,2014
1022,,,,,,,,,,,,,2014
1023,,,,,,,,,,,,,2014
1024,,,,,,,,,,,,,2014
1025,,,,,,,,,,,,,2014
1026,,,,,,,,,,,,,2014
1027,,,,,,,,,,,,,2014
1028,,,,,,,,,,,,,2014
1029,,,,,,,,,,,,,2014
1030,,,,,,,,,,,,,2014
1031,,,,,,,,,,,,,2014
1032,,,,,,,,,,,,,2014
1033,,,,,,,,,,,,,2014
1034,,,,,,,,,,,,,2014
1035,,,,,,,,,,,,,2014
1036,,,,,,,,,,,,,2014
1037,,,,,,,,,,,,,2014
1038,,,,,,,,,,,,,2014
1039,,,,,,,,,,,,,2014
1040,,,,,,,,,,,,,2014
1041,,,,,,,,,,,,,2014
1042,,,,,,,,,,,,,2014
1043,,,,,,,,,,,,,2014
1044,,,,,,,,,,,,,2014
1045,,,,,,,,,,,,,2014
1046,,,,,,,,,,,,,2014
1047,,,,,,,,,,,,,2014
1048,,,,,,,,,,,,,2014
1049,,,,,,,,,,,,,2014
1050,,,,,,,,,,,,,2014
1051,,,,,,,,,,,,,2014
1052,,,,,,,,,,,,,2014
1053,,,,,,,,,,,,,2014
1054,,,,,,,,,,,,,2014
1055,,,,,,,,,,,,,2014
1056,,,,,,,,,,,,,2014
1057,,,,,,,,,,,,,2014
1058,,,,,,,,,,,,,2014
1059,,,,,,,,,,,,,2014
1060,,,,,,,,,,,,,2014
1061,,,,,,,,,,,,,2014
1062,,,,,,,,,,,,,2014
1063,,,,,,,,,,,,,2014
1064,,,,,,,,,,,,,2014
1065,,,,,,,,,,,,,2014
1066,,,,,,,,,,,,,2014
1067,,,,,,,,,,,,,2014
1068,,,,,,,,,,,,,2014
1069,,,,,,,,,,,,,2014
1070,,,,,,,,,,,,,2014
1071,,,,,,,,,,,,,2014
1072,,,,,,,,,,,,,2014
1073,,,,,,,,,,,,,2014
1074,,,,,,,,,,,,,2014
1075,,,,,,,,,,,,,2014
1076,,,,,,,,,,,,,2014
1077,,,,,,,,,,,,,2014
1078,,,,,,,,,,,,,2014
1079,,,,,,,,,,,,,2014
1080,,,,,,,,,,,,,2014
1081,,,,,,,,,,,,,2014
1082,,,,,,,,,,,,,2014
1083,,,,,,,,,,,,,2014
1084,,,,,,,,,,,,,2014
1085,,,,,,,,,,,,,2014
1086,,,,,,,,,,,,,2014
1087,,,,,,,,,,,,,2014
1088,,,,,,,,,,,,,2014
1089,,,,,,,,,,,,,2014
1090,,,,,,,,,,,,,2014
1091,,,,,,,,,,,,,2014
1092,,,,,,,,,,,,,2014
1093,,,,,,,,,,,,,2014
1094,,,,,,,,,,,,,2014
1095,,,,,,,,,,,,,2014
1096,,,,,,,,,,,,,2014
1097,,,,,,,,,,,,,2014
1098,,,,,,,,,,,,,2014
1099,,,,,,,,,,,,,2014
1100,,,,,,,,,,,,,2014
1101,,,,,,,,,,,,,2014
1102,,,,,,,,,,,,,2014
1103,,,,,,,,,,,,,2014
1104,,,,,,,,,,,,,2014
1105,,,,,,,,,,,,,2014
1106,,,,,,,,,,,,,2014
1107,,,,,,,,,,,,,2014
1108,,,,,,,,,,,,,2014
1109,,,,,,,,,,,,,2014
1110,,,,,,,,,,,,,2014
1111,,,,,,,,,,,,,2014
1112,,,,,,,,,,,,,2014
1113,,,,,,,,,,,,,2014
1114,,,,,,,,,,,,,2014
1115,,,,,,,,,,,,,2014
1116,,,,,,,,,,,,,2014
1117,,,,,,,,,,,,,2014
1118,,,,,,,,,,,,,2014
1119,,,,,,,,,,,,,2014
1120,,,,,,,,,,,,,2014
1121,,,,,,,,,,,,,2014
1122,,,,,,,,,,,,,2014
1123,,,,,,,,,,,,,2014
1124,,,,,,,,,,,,,2014
1125,,,,,,,,,,,,,2014
1126,,,,,,,,,,,,,2014
1127,,,,,,,,,,,,,2014
1128,,,,,,,,,,,,,2014
1129,,,,,,,,,,,,,2014
1130,,,,,,,,,,,,,2014
1131,,,,,,,,,,,,,2014
1132,,,,,,,,,,,,,2014
1133,,,,,,,,,,,,,2014
1134,,,,,,,,,,,,,2014
1135,,,,,,,,,,,,,2014
1136,,,,,,,,,,,,,2014
1137,,,,,,,,,,,,,2014
1138,,,,,,,,,,,,,2014
1139,,,,,,,,,,,,,2014
1140,,,,,,,,,,,,,2014
1141,,,,,,,,,,,,,2014
1142,,,,,,,,,,,,,2014
1143,,,,,,,,,,,,,2014
1144,,,,,,,,,,,,,2014
1145,,,,,,,,,,,,,2014
1146,,,,,,,,,,,,,2014
1147,,,,,,,,,,,,,2014
1148,,,,,,,,,,,,,2014
1149,,,,,,,,,,,,,2014
1150,0.53400,0.22600,-0.21700,0,,,,,,,,,2013
1151,0.04200,0.00900,-0.00800,0,,,,,,,,,2013
1152,,,,,,,,,,,,,2014
1153,,,,,,,,,,,,,2014
1154,,,,,,,,,,,,,2014
1155,,,,,,,,,,,,,2014
1156,,,,,,,,,,,,,2014
1157,,,,,,,,,,,,,2014
1158,,,,,,,,,,,,,2014
1159,,,,,,,,,,,,,2014
1160,,,,,,,,,,,,,2014
1161,,,,,,,,,,,,,2014
1162,,,,,,,,,,,,,2014
1163,,,,,,,,,,,,,2014
1164,,,,,,,,,,,,,2014
1165,,,,,,,,,,,,,2014
1166,,,,,,,,,,,,,2014
1167,,,,,,,,,,,,,2014
1168,,,,,,,,,,,,,2014
1169,,,,,,,,,,,,,2014
1170,,,,,,,,,,,,,2014
1171,,,,,,,,,,,,,2014
1172,,,,,,,,,,,,,2014
1173,,,,,,,,,,,,,2014
1174,,,,,,,,,,,,,2014
1175,,,,,,,,,,,,,2014
1176,,,,,,,,,,,,,2014
1177,,,,,,,,,,,,,2014
1178,,,,,,,,,,,,,2014
1179,,,,,,,,,,,,,2014
1180,,,,,,,,,,,,,2014
1181,,,,,,,,,,,,,2014
1182,,,,,,,,,,,,,2014
1183,,,,,,,,,,,,,2014
1184,,,,,,,,,,,,,2014
1185,,,,,,,,,,,,,2014
1186,,,,,,,,,,,,,2014
1187,,,,,,,,,,,,,2014
1188,,,,,,,,,,,,,2014
1189,,,,,,,,,,,,,2014
1190,,,,,,,,,,,,,2014
1191,,,,,,,,,,,,,2014
1192,,,,,,,,,,,,,2014
1193,,,,,,,,,,,,,2014
1194,,,,,,,,,,,,,2014
1195,,,,,,,,,,,,,2014
1196,,,,,,,,,,,,,2014
1197,,,,,,,,,,,,,2014
1198,,,,,,,,,,,,,2014
1199,,,,,,,,,,,,,2014
1200,,,,,,,,,,,,,2014
1201,,,,,,,,,,,,,2014
1202,,,,,,,,,,,,,2014
1203,,,,,,,,,,,,,2014
1204,,,,,,,,,,,,,2014
1205,,,,,,,,,,,,,2014
1206,,,,,,,,,,,,,2014
1207,,,,,,,,,,,,,2014
1208,,,,,,,,,,,,,2014
1209,,,,,,,,,,,,,2014
1210,,,,,,,,,,,,,2014
1211,,,,,,,,,,,,,2014
1212,,,,,,,,,,,,,2014
1213,,,,,,,,,,,,,2014
1214,,,,,,,,,,,,,2014
1215,,,,,,,,,,,,,2014
1216,,,,,,,,,,,,,2014
1217,,,,,,,,,,,,,2014
1218,,,,,,,,,,,,,2014
1219,,,,,,,,,,,,,2014
1220,,,,,,,,,,,,,2014
1221,,,,,,,,,,,,,2014
1222,,,,,,,,,,,,,2014
1223,,,,,,,,,,,,,2014
1224,,,,,,,,,,,,,2014
1225,,,,,,,,,,,,,2014
1226,,,,,,,,,,,,,2014
1227,,,,,,,,,,,,,2014
1228,,,,,,,,,,,,,2014
1229,,,,,,,,,,,,,2014
1230,,,,,,,,,,,,,2014
1231,,,,,,,,,,,,,2014
1232,,,,,,,,,,,,,2014
1233,,,,,,,,,,,,,2014
1234,,,,,,,,,,,,,2014
1235,,,,,,,,,,,,,2014
1236,,,,,,,,,,,,,2014
1237,,,,,,,,,,,,,2014
1238,,,,,,,,,,,,,2014
1239,,,,,,,,,,,,,2014
1240,,,,,,,,,,,,,2014
1241,,,,,,,,,,,,,2014
1242,,,,,,,,,,,,,2014
1243,,,,,,,,,,,,,2014
1244,0.05200,0.01400,-0.01100,0,,,,,,,,,2013
1245,0.05100,0.01600,-0.01400,0,,,,,,,,,2013
1246,0.27500,0.13100,-0.12600,0,,,,,,,,,2013
1247,0.20200,0.05700,-0.04900,0,,,,,,,,,2013
1248,,,,,,,,,,,,,2014
1249,,,,,,,,,,,,,2014
1250,,,,,,,,,,,,,2014
1251,0.15500,0.02300,-0.01900,0,,,,,,,,,2013
1252,0.11800,0.01700,-0.01400,0,,,,,,,,,2013
1253,,,,,,,,,,,,,2014
1254,,,,,,,,,,,,,2014
1255,,,,,,,,,,,,,2014
1256,,,,,,,,,,,,,2014
1257,,,,,,,,,,,,,2014
1258,,,,,,,,,,,,,2014
1259,0.19200,0.11300,-0.11400,0,,,,,,,,,2013
1260,0.17700,0.05100,-0.05300,0,,,,,,,,,2013
1261,,,,,,,,,,,,,2014
1262,,,,,,,,,,,,,2014
1263,,,,,,,,,,,,,2014
1264,,,,,,,,,,,,,2014
