145,13.5,NaN,145,2010
146,0.524,NaN,139,2006
147,9.09,NaN,135.32,2007
148,0.591,NaN,138,2007
149,0.671,NaN,314,2007
150,1.06,NaN,342,2007
151,1.057,NaN,261,2007
152,1.52,NaN,230,2008
153,0.78,NaN,480,2008
154,0.211,NaN,142.5,2009
155,0.853,NaN,214,2009
156,NaN,15.2,214,2009
157,2.232,NaN,205,2010
158,1.946,NaN,190,2010
159,4.193,NaN,235,2010
160,0.534,NaN,90,2010
161,NaN,3.4,90,2010
162,0.197,NaN,166,2010
163,0.292,NaN,215,2010
164,7.246,NaN,70,2010
165,4.063,NaN,254,2010
166,2.147,NaN,82,2010
167,2.09,NaN,393,2010
168,0.685,NaN,396,2010
169,0.567,NaN,297,2010
170,0.059,NaN,134,2010
171,0.62,NaN,204,2011
172,0.626,NaN,395,2011
173,0.778,NaN,322,2011
174,0.711,NaN,193,2011
175,2.171,NaN,354,2011
176,0.86,NaN,283,2011
177,0.762,NaN,387,2011
178,3.328,NaN,257,2011
179,1.054,NaN,535,2011
180,1.832,NaN,317,2011
181,1.169,NaN,411,2011
182,0.267,NaN,249,2012
183,0.599,NaN,642,2012
184,0.615,NaN,501,2012
185,0.8,NaN,344,2012
186,1.044,NaN,447,2012
187,0.662,NaN,542,2012
188,1.73,NaN,322,2014
189,1.855,NaN,303,2012
190,1.345,NaN,360,2013
191,1.071,NaN,453,2013
192,NaN,1.25,25.64,2001
193,NaN,5.3,25.64,2012
194,NaN,0.024,23.44,2009
195,NaN,3.1,167.5,2011
196,NaN,6.1,7.01,2010
197,NaN,4.9,89.85,2002
198,NaN,0.48,53.71,2005
199,NaN,1.6,115.21,2013
200,NaN,0.229,11.11,2003
201,NaN,1.56,44.05,2007
202,NaN,0.8,32.7,2001
203,NaN,0.0405,21.85,2005
204,NaN,1.82,77.82,2001
205,NaN,2.17,77.82,2014
206,NaN,2.3,131.41,2009
207,NaN,2.37,56.5,2012
208,NaN,2.37,56.5,2012
209,NaN,1.94,100,2007
210,NaN,1.96,53.28,2009
211,1.4,NaN,58.17,2012
212,NaN,7.6,150.6,2011
213,NaN,0.39,40.32,2003
214,NaN,1.65,55.01,2009
215,NaN,0.29,35.88,2011
216,NaN,1.11,38.52,2011
217,NaN,2,38.52,2011
218,NaN,0.029,16.82,2008
219,NaN,0.63,56.34,2010
220,NaN,1.8,44.15,2002
221,NaN,14.2,38.26,2009
222,NaN,0.7,52.85,2009
223,NaN,1.82,52.85,2009
224,NaN,0.041,39.39,2010
225,NaN,0.038,39.39,2010
226,NaN,0.08,39.39,2010
227,NaN,0.074,39.39,2010
228,NaN,0.067,39.39,2010
229,NaN,0.205,39.39,2010
230,NaN,0.94,17.35,2006
231,NaN,6.21,32.56,1999
232,NaN,3.44,53.82,2007
233,NaN,0.82,53.82,2008
234,NaN,6.54,66.49,2005
235,NaN,0.622,33.98,2005
236,NaN,0.0788,33.98,2008
237,NaN,2.3,37.16,2000
238,NaN,1.92,37.16,2002
239,NaN,14,300.3,2005
240,NaN,0.865,66.89,2013
241,NaN,5.13,66.89,2013
242,NaN,1.88,45.52,2009
243,NaN,0.26,35.91,2000
244,NaN,0.0696,25.54,2008
245,NaN,4.4,59.84,2009
246,NaN,14.3,50.18,2009
247,NaN,4.6,NaN,2007
248,3.191,NaN,78.25,2007
249,NaN,2.7,127.88,2011
250,NaN,1.37,22.38,2003
251,NaN,0.0085,6.06,2011
252,NaN,0.00755,6.06,2011
253,NaN,0.0151,6.06,2011
254,NaN,1.9,36.02,2006
255,NaN,1.99,44.5,2008
256,NaN,1.5,89.13,2006
257,NaN,2.61,34.6,2001
258,NaN,13.65,31.79,2011
259,NaN,7.71,51.97,2003
260,NaN,4.01,46.51,2006
261,NaN,0.95,56.05,2010
262,NaN,1.28,18.24,2000
263,NaN,1.45,44.54,2012
264,NaN,0.62,42.37,2005
265,NaN,1.16,56.18,2010
266,NaN,5.59,39.56,2001
267,NaN,1.7,168.92,2011
268,NaN,9.17,54.71,2002
269,NaN,1.373,26.5,2009
270,NaN,1.8,121.07,2011
271,NaN,0.5,53.82,2010
272,NaN,3.04,117.37,2009
273,NaN,1.3,136.8,2011
274,NaN,0.33,86.88,2006
275,NaN,9.1,20.98,2005
276,NaN,0.79,45.01,2009
277,NaN,0.61,33.24,2002
278,NaN,0.683,33.24,2002
279,NaN,0.624,33.24,2005
280,NaN,2.3,42.88,2004
281,NaN,3.366,42.88,2012
282,0.34,NaN,37.78,2010
283,NaN,0.839,42.43,2000
284,NaN,13.38,42.43,2000
285,NaN,10.7,99.4,2009
286,NaN,10.35,18.21,2001
287,NaN,0.0126,12.83,2008
288,NaN,0.0208,12.83,2008
289,NaN,0.0299,12.83,2008
290,NaN,0.011,12.83,2012
291,NaN,0.0164,12.83,2012
292,NaN,0.0223,12.83,2012
293,NaN,4.01,33.33,2002
294,NaN,2.54,43.03,2004
295,NaN,18.37,43.03,2003
296,NaN,0.039,52.03,2013
297,NaN,0.027,52.03,2013
298,NaN,0.6,54.94,2010
299,NaN,25,37.05,2008
300,NaN,2.49,93.2,2007
301,NaN,0.58,50.43,2010
302,NaN,0.1872,32.58,2008
303,NaN,0.6579,32.58,2008
304,NaN,1.79,48.95,2004
305,NaN,0.47,36.14,2008
306,NaN,0.249,33.41,2000
307,NaN,0.07167,37.84,2008
308,NaN,0.35061,37.84,2008
309,NaN,5,121.36,2002
310,NaN,1.16,87.41,2008
311,NaN,0.115,40.73,2002
312,NaN,1.71,47.26,2005
313,NaN,4.9,31.03,2002
314,NaN,1.13,28.07,2000
315,NaN,1.03,25.7,2008
316,NaN,2.46,25.7,2008
317,NaN,0.38,35.8,2005
318,NaN,2.9,10.34,2006
319,NaN,0.64,32.62,2009
320,NaN,1.26,35.59,2003
321,NaN,0.17,35.59,2011
322,NaN,6,80.06,2012
323,NaN,2.82,55.04,2005
324,NaN,1.9,58.82,2001
325,NaN,0.033,12.58,2006
326,NaN,0.038,12.58,2006
327,NaN,0.058,12.58,2006
328,NaN,6.1,NaN,2007
329,NaN,2,28.76,2003
330,NaN,3.15,51.36,2002
331,NaN,3.06,53.05,2008
332,NaN,1.87,36.52,2003
333,NaN,2.25,94.61,2002
334,NaN,2.25,94.61,2005
335,NaN,1.15,96.99,2008
336,NaN,1.8,64.56,2003
337,NaN,8.06,64.56,2003
338,NaN,0.42,28.94,1999
339,NaN,2.51,80.58,2007
340,NaN,0.197,59.7,2002
341,0.05,NaN,41.27,2012
342,NaN,1.34,48.64,2011
343,3.94,NaN,29.04,2001
344,NaN,6.86,32.56,2005
345,NaN,2.7,88.26,2007
346,1.681,NaN,27.46,2003
347,1.959,NaN,27.46,2003
348,NaN,1.3,112.23,2011
349,NaN,0.398,43.53,2002
350,NaN,0.132,33.96,2009
351,NaN,0.01133,11.15,2011
352,NaN,1.5,91.16,2006
353,NaN,0.92,42.48,2009
354,NaN,7,72.57,2009
355,NaN,1.78,18.06,2009
356,NaN,0.22,74.46,2004
