pl_orbper,pl_massj,pl_msinij,pl_radj,st_spstr,,OrbPeriod,MassorMsini(Emass),RadiusERadius,Type,,M = 1
6.21229,0.22,,0.57,K1 V,,6.21229,69.92218926,6.242053573,2,,
3186,27,,,K1 III,,3186,8581.359591,NaN,2,,
530.32,24,,,K1 III,,530.32,7627.875192,NaN,2,,
903.3,,1.85,,K1 III,,903.3,287094.1525,NaN,2,,
428.5,,8.78,,K1 IIIb Fe-0.5,,428.5,136189.355,NaN,2,,
3.2357,,0.0036,,K1 V,,3.2357,1028.39649,NaN,2,,
380.8,,1.8,,K1 IIIb,,380.8,121028.953,NaN,2,,
763,,2.6,,K1 III,,763,242502.8655,NaN,2,,
269.3,,7.1,,K1 III,,269.3,85591.11622,NaN,2,,
2.985698,,0.398,,K0/1 V + G (III),,2.985698,948.938821,NaN,2,,
2.615864,0.565,,0.996,K0 V,,2.615864,179.5728951,10.9071673,2,,
3.030065,0.752,,1.067,K0 V,,3.030065,239.006756,11.68468625,2,,
,4.8,,,K,,NaN,1525.575038,NaN,2,,
118.45,,0.65,,K0 V,,118.45,37646.74235,NaN,2,,
354.8,1.9,,,K0,,354.8,603.8734527,NaN,2,,
610,,2.2,,K0 III,,610,193875.1611,NaN,2,,
663,,3.3,,K0 III,,663,210720.0522,NaN,2,,
479,,1.6,,K0 III/IV,,479,152239.6757,NaN,2,,
396.03,22,,,K0,,396.03,6992.218926,NaN,2,,
110.9,,0.15,,K0,,110.9,35247.13995,NaN,2,,
406.6,,1.49,,K0,,406.6,129228.9189,NaN,2,,
323.6,,2.7,,K0,,323.6,102849.1838,NaN,2,,
5144,,3.53,,K0 IV-V,,5144,1634907.916,NaN,2,,
521,,1.8,,K0,,521,165588.4573,NaN,2,,
131.05,,9.71,,K0,,131.05,41651.37683,NaN,2,,
689,,1.5,,K0,,689,218983.5836,NaN,2,,
331.5,,0.96,,K0 III/IV,,331.5,105360.0261,NaN,2,,
176.3,,2.9,,K0,,176.3,56033.09985,NaN,2,,
1299,,1.9,,K0,,1299,412858.7448,NaN,2,,
1125.7,,9.76,,K0,,1125.7,357779.1293,NaN,2,,
883,,2.2,,K0,,883,280642.2414,NaN,2,,
10.7085,,1.04,,K0 V,,10.7085,3403.462562,NaN,2,,
6.1335,,2.13,,K0,,6.1335,1949.398854,NaN,2,,
670,,2.1,,K0,,670,212944.8491,NaN,2,,
443.4,,2.6,,K0,,443.4,140924.9942,NaN,2,,
199.505,,8.3,,K0,,199.505,63408.30167,NaN,2,,
